"Delivery Date","Hour Ending","MW Offered","RRSUFR Offer Price"
"02/03/2023","01","932.5","0"
"02/03/2023","01","978","15"
"02/03/2023","02","932.7","0"
"02/03/2023","02","978.2","15"
"02/03/2023","03","937.8","0"
"02/03/2023","03","983.5","15"
"02/03/2023","04","941","0"
"02/03/2023","04","986.9","15"
"02/03/2023","05","944.2","0"
"02/03/2023","05","990.3","15"
"02/03/2023","06","977.1","0"
"02/03/2023","07","1003.1","0"
"02/03/2023","08","1008.3","0"
"02/03/2023","09","1005.5","0"
"02/03/2023","10","1051.3","0"
"02/03/2023","11","1033.2","0"
"02/03/2023","12","1025.7","0"
"02/03/2023","13","1018","0"
"02/03/2023","14","1009.7","0"
"02/03/2023","15","1008.7","0"
"02/03/2023","16","1006.3","0"
"02/03/2023","17","1007.9","0"
"02/03/2023","18","1007.1","0"
"02/03/2023","19","1017.4","0"
"02/03/2023","20","1021.7","0"
"02/03/2023","21","1021.7","0"
"02/03/2023","22","1019.8","0"
"02/03/2023","23","1002.9","0"
"02/03/2023","24","995.7","0"
