"Delivery Date","Hour Ending","Total Cleared AS - NonSpin"
"02/03/2023","1","2792"
"02/03/2023","2","2792"
"02/03/2023","3","3648.9"
"02/03/2023","4","3649"
"02/03/2023","5","3648.9"
"02/03/2023","6","3649"
"02/03/2023","7","4158"
"02/03/2023","8","4158"
"02/03/2023","9","4158"
"02/03/2023","10","4158"
"02/03/2023","11","4250"
"02/03/2023","12","4249.9"
"02/03/2023","13","4381"
"02/03/2023","14","4381"
"02/03/2023","15","5197"
"02/03/2023","16","5197"
"02/03/2023","17","5197"
"02/03/2023","18","5197"
"02/03/2023","19","3932.1"
"02/03/2023","20","3932"
"02/03/2023","21","3932"
"02/03/2023","22","3932"
"02/03/2023","23","3020"
"02/03/2023","24","3020"
