"Delivery Date","Hour Ending","Total Self-Arranged AS - RegUp"
"02/03/2023","1","7.7"
"02/03/2023","2","6.7"
"02/03/2023","3","6.8"
"02/03/2023","4","8.7"
"02/03/2023","5","12.5"
"02/03/2023","6","16.4"
"02/03/2023","7","19.6"
"02/03/2023","8","13"
"02/03/2023","9","10.3"
"02/03/2023","10","15.2"
"02/03/2023","11","10"
"02/03/2023","12","14.1"
"02/03/2023","13","15"
"02/03/2023","14","16.7"
"02/03/2023","15","16.5"
"02/03/2023","16","18.8"
"02/03/2023","17","21.6"
"02/03/2023","18","21.5"
"02/03/2023","19","22.1"
"02/03/2023","20","8.2"
"02/03/2023","21","8.8"
"02/03/2023","22","6.3"
"02/03/2023","23","8.5"
"02/03/2023","24","6"
