"Delivery Date","Hour Ending","Total Cleared AS - RegUp"
"02/03/2023","1","230.2"
"02/03/2023","2","202.4"
"02/03/2023","3","205.4"
"02/03/2023","4","265.2"
"02/03/2023","5","375.8"
"02/03/2023","6","490.6"
"02/03/2023","7","587"
"02/03/2023","8","386.2"
"02/03/2023","9","298"
"02/03/2023","10","422.8"
"02/03/2023","11","423"
"02/03/2023","12","384.9"
"02/03/2023","13","403.9"
"02/03/2023","14","445.9"
"02/03/2023","15","445.6"
"02/03/2023","16","508.3"
"02/03/2023","17","593.3"
"02/03/2023","18","899.4"
"02/03/2023","19","632.9"
"02/03/2023","20","229.6"
"02/03/2023","21","249.2"
"02/03/2023","22","181.9"
"02/03/2023","23","248.5"
"02/03/2023","24","177.3"
