"Delivery Date","Hour Ending","MW Offered","REGDN Offer Price"
"02/03/2023","01","56.8","0"
"02/03/2023","01","62.8",".01"
"02/03/2023","01","67.8",".06"
"02/03/2023","01","77.8",".07"
"02/03/2023","01","82.8",".08"
"02/03/2023","01","89.5",".11"
"02/03/2023","01","94.5",".22"
"02/03/2023","01","104.5",".23"
"02/03/2023","01","109.5",".24"
"02/03/2023","01","116.2",".27"
"02/03/2023","01","126.2",".32"
"02/03/2023","01","136.2",".33"
"02/03/2023","01","141.2",".57"
"02/03/2023","01","151.2",".58"
"02/03/2023","01","156.2",".59"
"02/03/2023","01","166.2",".66"
"02/03/2023","01","176.2",".67"
"02/03/2023","01","227.2",".79"
"02/03/2023","01","230.3",".84"
"02/03/2023","01","238.3",".94"
"02/03/2023","01","245.3",".95"
"02/03/2023","01","325.3",".97"
"02/03/2023","01","335.3",".98"
"02/03/2023","01","387.3",".99"
"02/03/2023","01","399.8","1.05"
"02/03/2023","01","414.8","1.06"
"02/03/2023","01","438.6","1.1"
"02/03/2023","01","443.6","1.11"
"02/03/2023","01","453.6","1.12"
"02/03/2023","01","463.6","1.23"
"02/03/2023","01","473.6","1.24"
"02/03/2023","01","492.4","1.27"
"02/03/2023","01","534.4","1.29"
"02/03/2023","01","543.4","1.31"
"02/03/2023","01","546.9","1.32"
"02/03/2023","01","553.2","1.35"
"02/03/2023","01","559.5","1.37"
"02/03/2023","01","574.5","1.42"
"02/03/2023","01","579.5","1.43"
"02/03/2023","01","580.5","1.44"
"02/03/2023","01","582.6","1.45"
"02/03/2023","01","620.6","1.49"
"02/03/2023","01","630.6","1.5"
"02/03/2023","01","633.7","1.56"
"02/03/2023","01","643.7","1.69"
"02/03/2023","01","645.7","1.79"
"02/03/2023","01","646.8","1.8"
"02/03/2023","01","653.1","1.94"
"02/03/2023","01","697.1","1.98"
"02/03/2023","01","699.1","2.16"
"02/03/2023","01","703.4","2.17"
"02/03/2023","01","708.4","2.39"
"02/03/2023","01","759.4","2.49"
"02/03/2023","01","773.4","2.98"
"02/03/2023","01","788.4","3.29"
"02/03/2023","01","795.9","3.39"
"02/03/2023","01","808.7","3.5"
"02/03/2023","01","823.7","4.89"
"02/03/2023","01","844.6","5"
"02/03/2023","01","864.6","5.01"
