"Delivery Date","Hour Ending","MW Offered","ONNS Offer Price"
"02/03/2023","01","20","0"
"02/03/2023","01","449.6",".01"
"02/03/2023","01","464.6",".2"
"02/03/2023","01","519.6",".35"
"02/03/2023","01","599.6",".4"
"02/03/2023","01","724.6",".5"
"02/03/2023","01","814.6",".55"
"02/03/2023","01","1009.6",".6"
"02/03/2023","01","1154.6",".7"
"02/03/2023","01","1214.6",".75"
"02/03/2023","01","1259.6",".88"
"02/03/2023","01","1264.6",".95"
"02/03/2023","01","1529.6","1"
"02/03/2023","01","1629.6","1.26"
"02/03/2023","01","1697.6","1.36"
"02/03/2023","01","1737.6","1.5"
"02/03/2023","01","1762.2","1.6"
"02/03/2023","01","1872.2","1.75"
"02/03/2023","01","1952.2","2"
"02/03/2023","01","1996.2","2.01"
"02/03/2023","01","2231.2","3"
"02/03/2023","01","2781.2","3.14"
"02/03/2023","01","2836.2","4"
"02/03/2023","01","2965.6","5"
"02/03/2023","01","2987.2","5.25"
"02/03/2023","01","3031.2","6"
"02/03/2023","01","3072.8","6.56"
"02/03/2023","01","3085.8","7.95"
"02/03/2023","01","3115.8","8"
"02/03/2023","01","3137.4","8.2"
"02/03/2023","01","3152.4","10"
"02/03/2023","01","3181.2","10.25"
"02/03/2023","01","3191.6","12.82"
"02/03/2023","01","3201.6","15"
"02/03/2023","01","3251.6","25"
"02/03/2023","01","3271.6","52.45"
"02/03/2023","01","3411.6","100"
"02/03/2023","01","3605.6","110.8"
"02/03/2023","01","3799.6","235.8"
"02/03/2023","01","3954.6","460.8"
"02/03/2023","01","3966.6","1999"
"02/03/2023","02","20","0"
"02/03/2023","02","449.6",".01"
"02/03/2023","02","464.6",".2"
"02/03/2023","02","519.6",".35"
"02/03/2023","02","599.6",".4"
"02/03/2023","02","724.6",".5"
"02/03/2023","02","814.6",".55"
"02/03/2023","02","1009.6",".6"
"02/03/2023","02","1154.6",".7"
"02/03/2023","02","1214.6",".75"
"02/03/2023","02","1259.6",".88"
"02/03/2023","02","1264.6",".99"
"02/03/2023","02","1529.6","1"
"02/03/2023","02","1629.6","1.26"
"02/03/2023","02","1697.6","1.36"
"02/03/2023","02","1737.6","1.5"
"02/03/2023","02","1762.2","1.6"
"02/03/2023","02","1872.2","1.75"
"02/03/2023","02","1952.2","2"
"02/03/2023","02","1996.2","2.01"
"02/03/2023","02","2231.2","3"
"02/03/2023","02","2781.2","3.14"
"02/03/2023","02","2836.2","4"
"02/03/2023","02","2965.6","5"
"02/03/2023","02","2987.2","5.25"
"02/03/2023","02","3031.2","6"
"02/03/2023","02","3072.8","6.56"
"02/03/2023","02","3085.8","7.95"
"02/03/2023","02","3115.8","8"
"02/03/2023","02","3137.4","8.2"
"02/03/2023","02","3152.4","10"
"02/03/2023","02","3181.2","10.25"
"02/03/2023","02","3191.6","12.82"
"02/03/2023","02","3201.6","15"
"02/03/2023","02","3251.6","25"
"02/03/2023","02","3271.6","52.45"
"02/03/2023","02","3411.6","100"
"02/03/2023","02","3605.6","110.8"
"02/03/2023","02","3799.6","235.8"
"02/03/2023","02","3954.6","460.8"
"02/03/2023","02","3966.6","1999"
"02/03/2023","03","20","0"
"02/03/2023","03","449.6",".01"
"02/03/2023","03","464.6",".2"
"02/03/2023","03","519.6",".35"
"02/03/2023","03","599.6",".4"
"02/03/2023","03","724.6",".5"
"02/03/2023","03","814.6",".55"
"02/03/2023","03","1009.6",".6"
"02/03/2023","03","1154.6",".7"
"02/03/2023","03","1214.6",".75"
"02/03/2023","03","1259.6",".88"
"02/03/2023","03","1264.6",".98"
"02/03/2023","03","1529.6","1"
"02/03/2023","03","1629.6","1.26"
"02/03/2023","03","1697.6","1.36"
"02/03/2023","03","1737.6","1.5"
"02/03/2023","03","1762.2","1.6"
"02/03/2023","03","1872.2","1.75"
"02/03/2023","03","1952.2","2"
"02/03/2023","03","1996.2","2.01"
"02/03/2023","03","2231.2","3"
"02/03/2023","03","2781.2","3.14"
"02/03/2023","03","2836.2","4"
"02/03/2023","03","2965.6","5"
"02/03/2023","03","2987.2","5.25"
"02/03/2023","03","3031.2","6"
"02/03/2023","03","3072.8","6.56"
"02/03/2023","03","3085.8","7.95"
"02/03/2023","03","3115.8","8"
"02/03/2023","03","3137.4","8.2"
"02/03/2023","03","3152.4","10"
"02/03/2023","03","3181.2","10.25"
"02/03/2023","03","3191.6","12.82"
"02/03/2023","03","3201.6","15"
"02/03/2023","03","3251.6","25"
"02/03/2023","03","3271.6","52.45"
"02/03/2023","03","3411.6","100"
"02/03/2023","03","3605.6","110.8"
"02/03/2023","03","3799.6","235.8"
"02/03/2023","03","3954.6","460.8"
"02/03/2023","03","3966.6","1999"
"02/03/2023","04","20","0"
"02/03/2023","04","449.6",".01"
"02/03/2023","04","464.6",".2"
"02/03/2023","04","519.6",".35"
"02/03/2023","04","599.6",".4"
"02/03/2023","04","724.6",".5"
"02/03/2023","04","814.6",".55"
"02/03/2023","04","1009.6",".6"
"02/03/2023","04","1154.6",".7"
"02/03/2023","04","1214.6",".75"
"02/03/2023","04","1259.6",".88"
"02/03/2023","04","1524.6","1"
"02/03/2023","04","1529.6","1.04"
"02/03/2023","04","1629.6","1.26"
"02/03/2023","04","1697.6","1.36"
