"Delivery Date","Hour Ending","Total Self-Arranged AS - RegDown"
"02/03/2023","1","9.3"
"02/03/2023","2","7.7"
"02/03/2023","3","7.3"
"02/03/2023","4","6.1"
"02/03/2023","5","9.9"
"02/03/2023","6","17"
"02/03/2023","7","10"
"02/03/2023","8","18.6"
"02/03/2023","9","29.5"
"02/03/2023","10","20.7"
"02/03/2023","11","18.7"
"02/03/2023","12","17.7"
"02/03/2023","13","18.3"
"02/03/2023","14","18.2"
"02/03/2023","15","16.6"
"02/03/2023","16","18"
"02/03/2023","17","17.9"
"02/03/2023","18","13.3"
"02/03/2023","19","11.6"
"02/03/2023","20","11.9"
"02/03/2023","21","11.4"
"02/03/2023","22","10.8"
"02/03/2023","23","12.7"
"02/03/2023","24","10.6"
