"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSUFR"
"02/03/2023","1","506.1"
"02/03/2023","2","506.1"
"02/03/2023","3","499.3"
"02/03/2023","4","496.1"
"02/03/2023","5","492.3"
"02/03/2023","6","482.7"
"02/03/2023","7","458.4"
"02/03/2023","8","454.4"
"02/03/2023","9","457.3"
"02/03/2023","10","462.1"
"02/03/2023","11","478.2"
"02/03/2023","12","487.6"
"02/03/2023","13","495.1"
"02/03/2023","14","502.2"
"02/03/2023","15","503.7"
"02/03/2023","16","506.2"
"02/03/2023","17","504.6"
"02/03/2023","18","499.5"
"02/03/2023","19","489.3"
"02/03/2023","20","485.5"
"02/03/2023","21","485.8"
"02/03/2023","22","486.4"
"02/03/2023","23","503.2"
"02/03/2023","24","510.2"
