"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSPFR"
"02/03/2023","1","139.1"
"02/03/2023","2","138.2"
"02/03/2023","3","136.9"
"02/03/2023","4","137"
"02/03/2023","5","137.7"
"02/03/2023","6","138.1"
"02/03/2023","7","136.4"
"02/03/2023","8","137.1"
"02/03/2023","9","140.4"
"02/03/2023","10","143.8"
"02/03/2023","11","110"
"02/03/2023","12","147.2"
"02/03/2023","13","149"
"02/03/2023","14","149.5"
"02/03/2023","15","147.1"
"02/03/2023","16","147.2"
"02/03/2023","17","147.3"
"02/03/2023","18","147.5"
"02/03/2023","19","146.4"
"02/03/2023","20","143.5"
"02/03/2023","21","141.5"
"02/03/2023","22","125"
"02/03/2023","23","125"
"02/03/2023","24","140.5"
