"Delivery Date","Hour Ending","MW Offered","REGUP Offer Price"
"02/03/2023","01","51.8","0"
"02/03/2023","01","61.8",".01"
"02/03/2023","01","112.8",".79"
"02/03/2023","01","154.8",".99"
"02/03/2023","01","196.8","1.29"
"02/03/2023","01","219.3","1.4"
"02/03/2023","01","243.3","1.7"
"02/03/2023","01","258.3","1.8"
"02/03/2023","01","265.8","1.86"
"02/03/2023","01","283.3","1.95"
"02/03/2023","01","327.3","1.98"
"02/03/2023","01","345.5","2"
"02/03/2023","01","365.5","2.13"
"02/03/2023","01","377.5","2.21"
"02/03/2023","01","383.5","2.31"
"02/03/2023","01","389.5","2.41"
"02/03/2023","01","426.5","2.49"
"02/03/2023","01","442.5","2.62"
"02/03/2023","01","466.5","2.65"
"02/03/2023","01","474","2.68"
"02/03/2023","01","482","2.71"
"02/03/2023","01","492","2.8"
"02/03/2023","01","496","2.81"
"02/03/2023","01","500","2.91"
"02/03/2023","01","520","2.94"
"02/03/2023","01","600","2.95"
"02/03/2023","01","610","3.15"
"02/03/2023","01","630","3.54"
"02/03/2023","01","644","3.92"
"02/03/2023","01","654","4"
"02/03/2023","01","674","4.84"
"02/03/2023","01","695.6","5"
"02/03/2023","01","709.6","5.05"
"02/03/2023","01","729.6","5.41"
"02/03/2023","01","743.6","5.69"
"02/03/2023","01","765.2","6.5"
"02/03/2023","01","780.2","6.84"
"02/03/2023","01","787.7","6.88"
"02/03/2023","01","807.7","7.12"
"02/03/2023","01","823.7","7.31"
"02/03/2023","01","833.7","7.36"
"02/03/2023","01","848.7","7.41"
"02/03/2023","01","863.7","7.46"
"02/03/2023","01","886.2","7.52"
"02/03/2023","01","901.2","7.55"
"02/03/2023","01","914.2","7.95"
"02/03/2023","01","951.2","8"
"02/03/2023","01","971.2","8.04"
"02/03/2023","01","983.2","8.36"
"02/03/2023","01","1005.7","8.44"
"02/03/2023","01","1025.7","8.58"
"02/03/2023","01","1049.7","8.65"
"02/03/2023","01","1061.7","8.75"
"02/03/2023","01","1076.7","8.9"
"02/03/2023","01","1084.2","9.03"
"02/03/2023","01","1128","9.1"
"02/03/2023","01","1143","9.24"
"02/03/2023","01","1150.5","9.46"
"02/03/2023","01","1170.5","9.64"
"02/03/2023","01","1182.5","9.8"
"02/03/2023","01","1194.5","9.99"
"02/03/2023","01","1214.5","10.01"
"02/03/2023","01","1222","10.82"
"02/03/2023","01","1317","11.25"
"02/03/2023","01","1332","12.43"
"02/03/2023","01","1347","13.72"
"02/03/2023","01","1371","14.65"
"02/03/2023","01","1382","20"
"02/03/2023","01","1401","22.65"
"02/03/2023","01","1406","25"
"02/03/2023","01","1416","75"
"02/03/2023","01","1428.1","100"
"02/03/2023","01","1450.1","2000"
"02/03/2023","01","1450.2","5000"
"02/03/2023","02","51.8","0"
"02/03/2023","02","61.8",".01"
"02/03/2023","02","69.3",".39"
"02/03/2023","02","89.3",".56"
"02/03/2023","02","140.3",".79"
"02/03/2023","02","182.3",".99"
"02/03/2023","02","198.3","1.05"
"02/03/2023","02","205.8","1.22"
"02/03/2023","02","247.8","1.29"
"02/03/2023","02","267.8","1.37"
"02/03/2023","02","290.3","1.4"
"02/03/2023","02","300.3","1.59"
"02/03/2023","02","324.3","1.7"
"02/03/2023","02","339.3","1.8"
"02/03/2023","02","356.8","1.95"
"02/03/2023","02","420.8","1.98"
"02/03/2023","02","439","2"
"02/03/2023","02","451","2.21"
"02/03/2023","02","457","2.31"
"02/03/2023","02","471","2.36"
"02/03/2023","02","477","2.41"
"02/03/2023","02","514","2.49"
"02/03/2023","02","538","2.65"
"02/03/2023","02","546","2.71"
"02/03/2023","02","556","2.8"
"02/03/2023","02","560","2.81"
"02/03/2023","02","564","2.91"
"02/03/2023","02","644","2.99"
"02/03/2023","02","664","3.3"
"02/03/2023","02","678","3.5"
"02/03/2023","02","698","3.87"
"02/03/2023","02","708","4"
"02/03/2023","02","722","4.15"
"02/03/2023","02","743.6","5"
"02/03/2023","02","751.1","5.24"
"02/03/2023","02","766.1","5.31"
"02/03/2023","02","786.1","5.59"
"02/03/2023","02","802.1","5.78"
"02/03/2023","02","817.1","5.88"
"02/03/2023","02","832.1","5.93"
"02/03/2023","02","847.1","6.02"
"02/03/2023","02","869.6","6.03"
"02/03/2023","02","891.2","6.5"
