"Delivery Date","Hour Ending","MW Offered","RRSUFR Offer Price"
"02/04/2023","01","1040.3","0"
"02/04/2023","01","1131.4","15"
"02/04/2023","02","1035.1","0"
"02/04/2023","02","1126","15"
"02/04/2023","03","1041.2","0"
"02/04/2023","03","1132.1","15"
"02/04/2023","04","1037.7","0"
"02/04/2023","04","1128.5","15"
"02/04/2023","05","1039.1","0"
"02/04/2023","05","1130","15"
"02/04/2023","06","1131.3","0"
"02/04/2023","07","1152.2","0"
"02/04/2023","08","1151.2","0"
"02/04/2023","09","1155.4","0"
"02/04/2023","10","1161.4","0"
"02/04/2023","11","1153.1","0"
"02/04/2023","12","1150.4","0"
"02/04/2023","13","1146.6","0"
"02/04/2023","14","1138.7","0"
"02/04/2023","15","1139.6","0"
"02/04/2023","16","1138.2","0"
"02/04/2023","17","1137.9","0"
"02/04/2023","18","1140","0"
"02/04/2023","19","1150.3","0"
"02/04/2023","20","1155","0"
"02/04/2023","21","1152.7","0"
"02/04/2023","22","1146.9","0"
"02/04/2023","23","1120.9","0"
"02/04/2023","24","1111.4","0"
