"Delivery Date","Hour Ending","Total Cleared AS - NonSpin"
"02/04/2023","1","2744"
"02/04/2023","2","2744"
"02/04/2023","3","3601.4"
"02/04/2023","4","3600.7"
"02/04/2023","5","3601"
"02/04/2023","6","3649"
"02/04/2023","7","4103.9"
"02/04/2023","8","4104"
"02/04/2023","9","4104"
"02/04/2023","10","4056"
"02/04/2023","11","4148"
"02/04/2023","12","4148"
"02/04/2023","13","4279"
"02/04/2023","14","4279"
"02/04/2023","15","5095"
"02/04/2023","16","5095"
"02/04/2023","17","5095"
"02/04/2023","18","5094.9"
"02/04/2023","19","3830"
"02/04/2023","20","3829.9"
"02/04/2023","21","3830"
"02/04/2023","22","3829.9"
"02/04/2023","23","2972"
"02/04/2023","24","2972"
