"Delivery Date","Hour Ending","Total Self-Arranged AS - NonSpin"
"02/04/2023","1","301"
"02/04/2023","2","301"
"02/04/2023","3","301"
"02/04/2023","4","301"
"02/04/2023","5","301"
"02/04/2023","6","253"
"02/04/2023","7","253"
"02/04/2023","8","253"
"02/04/2023","9","253"
"02/04/2023","10","301"
"02/04/2023","11","301"
"02/04/2023","12","301"
"02/04/2023","13","301"
"02/04/2023","14","301"
"02/04/2023","15","301"
"02/04/2023","16","301"
"02/04/2023","17","301"
"02/04/2023","18","301"
"02/04/2023","19","301"
"02/04/2023","20","301"
"02/04/2023","21","301"
"02/04/2023","22","301"
"02/04/2023","23","301"
"02/04/2023","24","301"
