"Delivery Date","Hour Ending","Total Cleared AS - RRSPFR"
"02/04/2023","1","1309"
"02/04/2023","2","1309.6"
"02/04/2023","3","1274.2"
"02/04/2023","4","1274.4"
"02/04/2023","5","1274.2"
"02/04/2023","6","1251.3"
"02/04/2023","7","1251.7"
"02/04/2023","8","1251.2"
"02/04/2023","9","1251.4"
"02/04/2023","10","1250.9"
"02/04/2023","11","1248.4"
"02/04/2023","12","1247.9"
"02/04/2023","13","1247"
"02/04/2023","14","1245.7"
"02/04/2023","15","1246.6"
"02/04/2023","16","1246.1"
"02/04/2023","17","1244.4"
"02/04/2023","18","1243.6"
"02/04/2023","19","1244.3"
"02/04/2023","20","1245.8"
"02/04/2023","21","1247.5"
"02/04/2023","22","1265.1"
"02/04/2023","23","1265.1"
"02/04/2023","24","1245"
