"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSUFR"
"02/04/2023","1","590.6"
"02/04/2023","2","595.2"
"02/04/2023","3","588.1"
"02/04/2023","4","591.2"
"02/04/2023","5","589.8"
"02/04/2023","6","585.7"
"02/04/2023","7","567.2"
"02/04/2023","8","562.5"
"02/04/2023","9","558.1"
"02/04/2023","10","555.2"
"02/04/2023","11","565"
"02/04/2023","12","567.9"
"02/04/2023","13","572.2"
"02/04/2023","14","580.4"
"02/04/2023","15","578.2"
"02/04/2023","16","579.6"
"02/04/2023","17","580.7"
"02/04/2023","18","577.8"
"02/04/2023","19","571.5"
"02/04/2023","20","572.7"
"02/04/2023","21","575.1"
"02/04/2023","22","580.8"
"02/04/2023","23","604.9"
"02/04/2023","24","614.5"
