"Delivery Date","Hour Ending","MW Offered","OFFNS Offer Price"
"02/04/2023","01","696.5",".01"
"02/04/2023","01","899.7",".02"
"02/04/2023","01","1052.7",".03"
"02/04/2023","01","1306.9",".04"
"02/04/2023","01","1459.9",".05"
"02/04/2023","01","1714.1",".06"
"02/04/2023","01","1816.1",".07"
"02/04/2023","01","2019.3",".08"
"02/04/2023","01","2070.3",".09"
"02/04/2023","01","2234.3",".1"
"02/04/2023","01","2279.3",".22"
"02/04/2023","01","2327.3",".24"
"02/04/2023","01","2430.3",".25"
"02/04/2023","01","2475.3",".33"
"02/04/2023","01","2530.8",".39"
"02/04/2023","01","2607.4",".4"
"02/04/2023","01","2652.4",".43"
"02/04/2023","01","2660.5",".45"
"02/04/2023","01","2668.6",".47"
"02/04/2023","01","2676.6",".48"
"02/04/2023","01","2684.6",".5"
"02/04/2023","01","2692.6",".52"
"02/04/2023","01","2700.6",".53"
"02/04/2023","01","2708.6",".55"
"02/04/2023","01","2716.6",".57"
"02/04/2023","01","2724",".58"
"02/04/2023","01","2811.4",".6"
"02/04/2023","01","2818.6",".62"
"02/04/2023","01","2825.8",".63"
"02/04/2023","01","2833",".65"
"02/04/2023","01","2840.2",".67"
"02/04/2023","01","2847.6",".68"
"02/04/2023","01","2855",".7"
"02/04/2023","01","2862.2",".72"
"02/04/2023","01","2869.4",".73"
"02/04/2023","01","2876.8",".75"
"02/04/2023","01","2884.2",".77"
"02/04/2023","01","2891.2",".78"
"02/04/2023","01","2958.2",".8"
"02/04/2023","01","2965.1",".82"
"02/04/2023","01","2972",".83"
"02/04/2023","01","2979",".85"
"02/04/2023","01","2986",".87"
"02/04/2023","01","2992.8",".88"
"02/04/2023","01","2999.6",".9"
"02/04/2023","01","3050.8",".92"
"02/04/2023","01","3058",".93"
"02/04/2023","01","3102",".94"
"02/04/2023","01","3146",".96"
"02/04/2023","01","3190",".97"
"02/04/2023","01","3317.3","1.04"
"02/04/2023","01","3392.3","1.05"
"02/04/2023","01","3449.8","1.09"
"02/04/2023","01","3506.6","1.11"
"02/04/2023","01","3570","1.13"
"02/04/2023","01","3640","1.14"
"02/04/2023","01","3715","1.15"
"02/04/2023","01","3774","2"
"02/04/2023","01","3834.5","2.3"
"02/04/2023","01","3896.5","2.45"
"02/04/2023","01","3958.5","2.65"
"02/04/2023","01","4164.5","2.72"
"02/04/2023","01","4225.5","2.85"
"02/04/2023","01","4271.5","3"
"02/04/2023","01","4286.5","3.01"
"02/04/2023","01","4346.5","3.3"
"02/04/2023","01","4411.5","3.75"
"02/04/2023","01","4457.5","4"
"02/04/2023","01","4472.5","4.01"
"02/04/2023","01","4536.5","4.8"
"02/04/2023","01","4572.5","5"
"02/04/2023","01","4806.5","10.8"
"02/04/2023","01","5034.5","25.8"
"02/04/2023","01","5079.5","42"
"02/04/2023","01","5087.9","45"
"02/04/2023","01","5118.2","50"
"02/04/2023","01","5148.2","80"
"02/04/2023","01","5178.2","110"
"02/04/2023","01","5207.8","140"
"02/04/2023","01","5235.7","170"
"02/04/2023","01","5262.4","200"
"02/04/2023","01","5289.1","230"
"02/04/2023","01","5316.4","260"
"02/04/2023","01","5343.1","290"
"02/04/2023","01","5371","320"
"02/04/2023","01","5395.1","350"
"02/04/2023","01","5418.4","380"
"02/04/2023","01","5442.5","410"
"02/04/2023","01","5465","440"
"02/04/2023","01","5490.7","470"
"02/04/2023","02","694.6",".01"
"02/04/2023","02","897.6",".02"
"02/04/2023","02","1050.6",".03"
"02/04/2023","02","1304.6",".04"
"02/04/2023","02","1457.6",".05"
