"Delivery Date","Hour Ending","Total Cleared AS - RegDown"
"02/04/2023","1","279.7"
"02/04/2023","2","232"
"02/04/2023","3","222.6"
"02/04/2023","4","184.9"
"02/04/2023","5","298.8"
"02/04/2023","6","508.9"
"02/04/2023","7","299.8"
"02/04/2023","8","554.2"
"02/04/2023","9","850.9"
"02/04/2023","10","577.3"
"02/04/2023","11","509.5"
"02/04/2023","12","486.1"
"02/04/2023","13","493.7"
"02/04/2023","14","487.7"
"02/04/2023","15","447"
"02/04/2023","16","488.5"
"02/04/2023","17","484.5"
"02/04/2023","18","358.7"
"02/04/2023","19","315.7"
"02/04/2023","20","333.9"
"02/04/2023","21","323.5"
"02/04/2023","22","312"
"02/04/2023","23","371.7"
"02/04/2023","24","314.9"
