"Delivery Date","Hour Ending","MW Offered","ONNS Offer Price"
"02/04/2023","01","20","0"
"02/04/2023","01","647.6",".01"
"02/04/2023","01","662.6",".2"
"02/04/2023","01","717.6",".35"
"02/04/2023","01","797.6",".4"
"02/04/2023","01","922.6",".5"
"02/04/2023","01","1012.6",".55"
"02/04/2023","01","1207.6",".6"
"02/04/2023","01","1352.6",".7"
"02/04/2023","01","1412.6",".75"
"02/04/2023","01","1457.6",".88"
"02/04/2023","01","1727.6","1"
"02/04/2023","01","1827.6","1.02"
"02/04/2023","01","1895.6","1.36"
"02/04/2023","01","1945.2","1.5"
"02/04/2023","01","1969.8","1.6"
"02/04/2023","01","2079.8","1.75"
"02/04/2023","01","2159.8","2"
"02/04/2023","01","2203.8","2.01"
"02/04/2023","01","2438.8","3"
"02/04/2023","01","2713.8","3.14"
"02/04/2023","01","2768.8","4"
"02/04/2023","01","2898.2","5"
"02/04/2023","01","2910.8","5.25"
"02/04/2023","01","2954.8","6"
"02/04/2023","01","2987.6","6.56"
"02/04/2023","01","3000.6","7.95"
"02/04/2023","01","3030.6","8"
"02/04/2023","01","3043.2","8.2"
"02/04/2023","01","3058.2","10"
"02/04/2023","01","3075","10.25"
"02/04/2023","01","3083.2","12.82"
"02/04/2023","01","3093.2","15"
"02/04/2023","01","3231.2","20"
"02/04/2023","01","3281.2","25"
"02/04/2023","01","3283.5","27.08"
"02/04/2023","01","3303.5","52.45"
"02/04/2023","01","3943.5","56.28"
"02/04/2023","01","3952.5","100"
"02/04/2023","01","4146.5","110.8"
"02/04/2023","01","4340.5","235.8"
"02/04/2023","01","4495.5","460.8"
"02/04/2023","01","4507.5","1999"
"02/04/2023","02","20","0"
"02/04/2023","02","647.6",".01"
"02/04/2023","02","662.6",".2"
"02/04/2023","02","717.6",".35"
"02/04/2023","02","797.6",".4"
"02/04/2023","02","922.6",".5"
"02/04/2023","02","1012.6",".55"
"02/04/2023","02","1207.6",".6"
"02/04/2023","02","1352.6",".7"
"02/04/2023","02","1412.6",".75"
"02/04/2023","02","1457.6",".88"
"02/04/2023","02","1462.6",".98"
"02/04/2023","02","1727.6","1"
"02/04/2023","02","1827.6","1.02"
"02/04/2023","02","1895.6","1.36"
"02/04/2023","02","1945.2","1.5"
"02/04/2023","02","1969.8","1.6"
"02/04/2023","02","2079.8","1.75"
"02/04/2023","02","2159.8","2"
"02/04/2023","02","2203.8","2.01"
"02/04/2023","02","2438.8","3"
"02/04/2023","02","2713.8","3.14"
"02/04/2023","02","2768.8","4"
"02/04/2023","02","2898.2","5"
"02/04/2023","02","2910.8","5.25"
"02/04/2023","02","2954.8","6"
"02/04/2023","02","2987.6","6.56"
"02/04/2023","02","3000.6","7.95"
"02/04/2023","02","3030.6","8"
"02/04/2023","02","3043.2","8.2"
"02/04/2023","02","3058.2","10"
"02/04/2023","02","3075","10.25"
"02/04/2023","02","3083.2","12.82"
"02/04/2023","02","3093.2","15"
"02/04/2023","02","3231.2","20"
"02/04/2023","02","3281.2","25"
"02/04/2023","02","3284.5","27.35"
"02/04/2023","02","3304.5","52.45"
"02/04/2023","02","3944.5","56.28"
"02/04/2023","02","3953.5","100"
"02/04/2023","02","4147.5","110.8"
"02/04/2023","02","4341.5","235.8"
"02/04/2023","02","4496.5","460.8"
"02/04/2023","02","4508.5","1999"
"02/04/2023","03","20","0"
"02/04/2023","03","647.6",".01"
"02/04/2023","03","662.6",".2"
"02/04/2023","03","717.6",".35"
"02/04/2023","03","797.6",".4"
"02/04/2023","03","922.6",".5"
"02/04/2023","03","1012.6",".55"
"02/04/2023","03","1207.6",".6"
"02/04/2023","03","1352.6",".7"
"02/04/2023","03","1412.6",".75"
"02/04/2023","03","1457.6",".88"
"02/04/2023","03","1462.6",".95"
