"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSPFR"
"02/04/2023","1","139.3"
"02/04/2023","2","139.1"
"02/04/2023","3","137.6"
"02/04/2023","4","137.7"
"02/04/2023","5","138.1"
"02/04/2023","6","138.7"
"02/04/2023","7","138.4"
"02/04/2023","8","138.8"
"02/04/2023","9","138.7"
"02/04/2023","10","139.1"
"02/04/2023","11","141.4"
"02/04/2023","12","142"
"02/04/2023","13","143.1"
"02/04/2023","14","144.4"
"02/04/2023","15","143.5"
"02/04/2023","16","144.2"
"02/04/2023","17","145.6"
"02/04/2023","18","146.6"
"02/04/2023","19","145.8"
"02/04/2023","20","144.3"
"02/04/2023","21","142.6"
"02/04/2023","22","125"
"02/04/2023","23","125"
"02/04/2023","24","144.9"
