"Delivery Date","Hour Ending","MW Offered","RRSPFR Offer Price"
"02/04/2023","01","121.7","0"
"02/04/2023","01","498.5",".01"
"02/04/2023","01","518.5",".02"
"02/04/2023","01","532.5",".14"
"02/04/2023","01","538.5",".29"
"02/04/2023","01","558.5",".46"
"02/04/2023","01","564.5",".49"
"02/04/2023","01","630.4",".5"
"02/04/2023","01","682.2",".6"
"02/04/2023","01","738.2",".63"
"02/04/2023","01","752.2",".72"
"02/04/2023","01","765.2",".73"
"02/04/2023","01","780.2",".75"
"02/04/2023","01","807.2",".78"
"02/04/2023","01","828.7",".79"
"02/04/2023","01","855.7",".8"
"02/04/2023","01","898.7",".81"
"02/04/2023","01","911.7",".82"
"02/04/2023","01","971.7",".89"
"02/04/2023","01","1210.5","1"
"02/04/2023","01","1310.5","1.02"
"02/04/2023","01","1314.5","1.19"
"02/04/2023","01","1435.9","1.2"
"02/04/2023","01","1530.9","1.25"
"02/04/2023","01","1619.3","1.29"
"02/04/2023","01","1679.3","1.3"
"02/04/2023","01","1719.3","1.48"
"02/04/2023","01","1725.3","1.49"
"02/04/2023","01","1762.9","1.5"
"02/04/2023","01","1810.9","1.56"
"02/04/2023","01","1831.6","1.61"
"02/04/2023","01","1891.6","1.89"
"02/04/2023","01","2017.7","1.95"
"02/04/2023","01","2024.7","1.96"
"02/04/2023","01","2042.2","1.98"
"02/04/2023","01","2044.2","1.99"
"02/04/2023","01","2094.5","2"
"02/04/2023","01","2102","2.08"
"02/04/2023","01","2143","2.11"
"02/04/2023","01","2158","2.13"
"02/04/2023","01","2178","2.15"
"02/04/2023","01","2226.7","2.21"
"02/04/2023","01","2246.7","2.22"
"02/04/2023","01","2266.7","2.29"
"02/04/2023","01","2308.7","2.31"
"02/04/2023","01","2324.7","2.39"
"02/04/2023","01","2338.9","2.4"
"02/04/2023","01","2350.9","2.46"
"02/04/2023","01","2367.9","2.49"
"02/04/2023","01","2387.9","2.73"
"02/04/2023","01","2402.9","2.77"
"02/04/2023","01","2417.9","2.8"
"02/04/2023","01","2434.3","2.81"
"02/04/2023","01","2438.5","2.82"
"02/04/2023","01","2454.3","2.83"
"02/04/2023","01","2469.3","2.84"
"02/04/2023","01","2536.3","2.89"
"02/04/2023","01","2552.8","2.91"
"02/04/2023","01","2645.6","3"
"02/04/2023","01","2662.4","3.01"
"02/04/2023","01","2684.9","3.05"
"02/04/2023","01","2707.4","3.22"
"02/04/2023","01","2717.4","3.39"
"02/04/2023","01","2737.4","3.89"
"02/04/2023","01","2751.4","3.94"
"02/04/2023","01","2773.9","3.99"
"02/04/2023","01","2783.9","4"
"02/04/2023","01","2804.1","4.05"
"02/04/2023","01","2826.6","4.16"
"02/04/2023","01","2838.6","4.28"
"02/04/2023","01","2853.6","4.33"
"02/04/2023","01","2868.6","4.39"
"02/04/2023","01","2940.6","4.45"
"02/04/2023","01","2955.6","4.57"
