"Delivery Date","Hour Ending","Total Self-Arranged AS - RegDown"
"02/04/2023","1","9.3"
"02/04/2023","2","7.7"
"02/04/2023","3","7.4"
"02/04/2023","4","6.1"
"02/04/2023","5","10"
"02/04/2023","6","17.1"
"02/04/2023","7","10.2"
"02/04/2023","8","18.9"
"02/04/2023","9","29"
"02/04/2023","10","19.8"
"02/04/2023","11","17.6"
"02/04/2023","12","16.9"
"02/04/2023","13","17.3"
"02/04/2023","14","17.3"
"02/04/2023","15","16"
"02/04/2023","16","17.5"
"02/04/2023","17","17.6"
"02/04/2023","18","13.2"
"02/04/2023","19","11.5"
"02/04/2023","20","12"
"02/04/2023","21","11.5"
"02/04/2023","22","11.1"
"02/04/2023","23","13.2"
"02/04/2023","24","11.1"
