"Delivery Date","Hour Ending","Total Cleared AS - RRSUFR"
"02/04/2023","1","1040.3"
"02/04/2023","2","1035.1"
"02/04/2023","3","1041.2"
"02/04/2023","4","1037.7"
"02/04/2023","5","1039.1"
"02/04/2023","6","1066.6"
"02/04/2023","7","1034.8"
"02/04/2023","8","1038.3"
"02/04/2023","9","1042.1"
"02/04/2023","10","1046.2"
"02/04/2023","11","1086.4"
"02/04/2023","12","1083.7"
"02/04/2023","13","1079.7"
"02/04/2023","14","1071.4"
"02/04/2023","15","1023.5"
"02/04/2023","16","1022.2"
"02/04/2023","17","1021.3"
"02/04/2023","18","1024.3"
"02/04/2023","19","1031"
"02/04/2023","20","1028.5"
"02/04/2023","21","1026.2"
"02/04/2023","22","1020.3"
"02/04/2023","23","1085.6"
"02/04/2023","24","1076.7"
