"Delivery Date","Hour Ending","Total Cleared AS - RegUp"
"02/01/2023","1","230.8"
"02/01/2023","2","202.2"
"02/01/2023","3","205.1"
"02/01/2023","4","265.6"
"02/01/2023","5","375.6"
"02/01/2023","6","490.7"
"02/01/2023","7","587.3"
"02/01/2023","8","385.7"
"02/01/2023","9","297.6"
"02/01/2023","10","423.8"
"02/01/2023","11","419.1"
"02/01/2023","12","386.2"
"02/01/2023","13","405.6"
"02/01/2023","14","448.2"
"02/01/2023","15","447.3"
"02/01/2023","16","510.3"
"02/01/2023","17","595.4"
"02/01/2023","18","894.2"
"02/01/2023","19","633.8"
"02/01/2023","20","230.1"
"02/01/2023","21","250.1"
"02/01/2023","22","182.1"
"02/01/2023","23","248.9"
"02/01/2023","24","177.3"
