"Delivery Date","Hour Ending","Total Self-Arranged AS - NonSpin"
"02/01/2023","1","304.9"
"02/01/2023","2","305"
"02/01/2023","3","354.7"
"02/01/2023","4","356.3"
"02/01/2023","5","361.6"
"02/01/2023","6","370.6"
"02/01/2023","7","353.9"
"02/01/2023","8","356.9"
"02/01/2023","9","348.9"
"02/01/2023","10","333.7"
"02/01/2023","11","327.1"
"02/01/2023","12","316.6"
"02/01/2023","13","316.5"
"02/01/2023","14","312.6"
"02/01/2023","15","352.4"
"02/01/2023","16","353.6"
"02/01/2023","17","360.2"
"02/01/2023","18","371.2"
"02/01/2023","19","310.1"
"02/01/2023","20","313.1"
"02/01/2023","21","314.1"
"02/01/2023","22","314.5"
"02/01/2023","23","319.3"
"02/01/2023","24","318.2"
