"Delivery Date","Hour Ending","Total Cleared AS - RRSPFR"
"02/01/2023","1","1404.5"
"02/01/2023","2","1404.7"
"02/01/2023","3","1361.8"
"02/01/2023","4","1360.5"
"02/01/2023","5","1354.2"
"02/01/2023","6","1232"
"02/01/2023","7","1124.5"
"02/01/2023","8","1121.3"
"02/01/2023","9","1125.4"
"02/01/2023","10","1138.1"
"02/01/2023","11","1142.3"
"02/01/2023","12","1150.3"
"02/01/2023","13","1155.2"
"02/01/2023","14","1158"
"02/01/2023","15","1163.3"
"02/01/2023","16","1162.4"
"02/01/2023","17","1158.3"
"02/01/2023","18","1170.7"
"02/01/2023","19","1161"
"02/01/2023","20","1159.9"
"02/01/2023","21","1152.5"
"02/01/2023","22","1145.5"
"02/01/2023","23","1138.1"
"02/01/2023","24","1139.2"
