"Delivery Date","Hour Ending","Total Cleared AS - NonSpin"
"02/01/2023","1","2740.1"
"02/01/2023","2","2740"
"02/01/2023","3","3547.3"
"02/01/2023","4","3545.7"
"02/01/2023","5","3540.4"
"02/01/2023","6","3531.4"
"02/01/2023","7","4003.1"
"02/01/2023","8","4000.2"
"02/01/2023","9","4008.1"
"02/01/2023","10","4023.2"
"02/01/2023","11","4121.9"
"02/01/2023","12","4132.4"
"02/01/2023","13","4263.5"
"02/01/2023","14","4267.4"
"02/01/2023","15","5043.6"
"02/01/2023","16","5042.4"
"02/01/2023","17","5035.8"
"02/01/2023","18","5024.9"
"02/01/2023","19","3820.9"
"02/01/2023","20","3817.9"
"02/01/2023","21","3816.9"
"02/01/2023","22","3816.5"
"02/01/2023","23","2953.7"
"02/01/2023","24","2954.8"
