"Delivery Date","Hour Ending","Total Cleared AS - RegDown"
"02/01/2023","1","279.3"
"02/01/2023","2","232.4"
"02/01/2023","3","222.8"
"02/01/2023","4","185"
"02/01/2023","5","299.1"
"02/01/2023","6","509"
"02/01/2023","7","300"
"02/01/2023","8","554.2"
"02/01/2023","9","851"
"02/01/2023","10","577.6"
"02/01/2023","11","509.8"
"02/01/2023","12","487.2"
"02/01/2023","13","494.7"
"02/01/2023","14","488.7"
"02/01/2023","15","448.3"
"02/01/2023","16","489.8"
"02/01/2023","17","485.9"
"02/01/2023","18","359.9"
"02/01/2023","19","316.4"
"02/01/2023","20","334.9"
"02/01/2023","21","324.4"
"02/01/2023","22","312.8"
"02/01/2023","23","372.9"
"02/01/2023","24","315.8"
