"Delivery Date","Hour Ending","MW Offered","REGDN Offer Price"
"02/01/2023","01","56.8","0"
"02/01/2023","01","62.8",".01"
"02/01/2023","01","118.8",".79"
"02/01/2023","01","160.8",".99"
"02/01/2023","01","240.8","1.03"
"02/01/2023","01","282.8","1.29"
"02/01/2023","01","310.8","1.49"
"02/01/2023","01","356.8","1.98"
"02/01/2023","01","359.9","2.14"
"02/01/2023","01","364.9","2.18"
"02/01/2023","01","374.9","2.19"
"02/01/2023","01","379.9","2.2"
"02/01/2023","01","384.9","2.37"
"02/01/2023","01","394.9","2.38"
"02/01/2023","01","399.9","2.39"
"02/01/2023","01","404.9","2.4"
"02/01/2023","01","409.9","2.41"
"02/01/2023","01","414.9","2.42"
"02/01/2023","01","419.9","2.43"
"02/01/2023","01","424.9","2.47"
"02/01/2023","01","429.9","2.48"
"02/01/2023","01","485.9","2.49"
"02/01/2023","01","490.9","2.5"
"02/01/2023","01","505.9","2.6"
"02/01/2023","01","510.9","2.61"
"02/01/2023","01","517.6","2.7"
"02/01/2023","01","520.7","2.75"
"02/01/2023","01","525.7","2.76"
"02/01/2023","01","535.7","2.77"
"02/01/2023","01","540.7","2.78"
"02/01/2023","01","552.4","2.85"
"02/01/2023","01","572.4","2.86"
"02/01/2023","01","587.4","2.87"
"02/01/2023","01","597.4","2.97"
"02/01/2023","01","631.4","2.98"
"02/01/2023","01","636.4","2.99"
"02/01/2023","01","642.7","3"
"02/01/2023","01","650.7","3.11"
"02/01/2023","01","659.7","3.12"
"02/01/2023","01","660.8","3.13"
"02/01/2023","01","675.8","3.22"
"02/01/2023","01","680.8","3.23"
"02/01/2023","01","693.3","3.35"
"02/01/2023","01","699.6","3.4"
"02/01/2023","01","718.4","3.41"
"02/01/2023","01","737.2","3.59"
"02/01/2023","01","746.2","3.64"
"02/01/2023","01","749.7","3.65"
"02/01/2023","01","756","3.68"
"02/01/2023","01","771","3.69"
"02/01/2023","01","777.3","3.71"
"02/01/2023","01","780.4","3.91"
"02/01/2023","01","800.4","5.01"
"02/01/2023","01","822.9","5.69"
"02/01/2023","01","824.9","7"
"02/01/2023","01","834.9","7.01"
"02/01/2023","01","839.9","7.98"
"02/01/2023","01","858.7","8"
"02/01/2023","01","878.7","9.98"
"02/01/2023","01","889.8","10"
"02/01/2023","01","892.3","10.01"
"02/01/2023","01","914.8","10.69"
"02/01/2023","01","927.6","12"
"02/01/2023","01","975","15"
"02/01/2023","01","1025","15.15"
"02/01/2023","01","1049","15.69"
"02/01/2023","01","1061","18.69"
"02/01/2023","01","1062","19.64"
"02/01/2023","01","1067","20"
"02/01/2023","01","1101.5","20.69"
"02/01/2023","01","1102.5","24.64"
"02/01/2023","01","1132.5","33"
"02/01/2023","01","1162.5","35.69"
"02/01/2023","01","1170.5","50"
"02/01/2023","01","1178.5","55"
"02/01/2023","01","1181.5","60"
"02/01/2023","01","1221.5","95.15"
"02/01/2023","01","1236.3","100"
"02/01/2023","01","1238.3","250"
"02/01/2023","01","1250.3","1000"
"02/01/2023","01","1272.3","2000"
"02/01/2023","01","1272.4","5000"
"02/01/2023","02","56.8","0"
"02/01/2023","02","62.8",".01"
"02/01/2023","02","118.8",".79"
"02/01/2023","02","198.8",".98"
"02/01/2023","02","240.8",".99"
"02/01/2023","02","282.8","1.29"
"02/01/2023","02","283.8","1.46"
"02/01/2023","02","285.9","1.47"
"02/01/2023","02","313.9","1.49"
"02/01/2023","02","318.9","1.51"
"02/01/2023","02","323.9","1.52"
"02/01/2023","02","328.9","1.53"
"02/01/2023","02","333.9","1.54"
"02/01/2023","02","338.9","1.72"
"02/01/2023","02","343.9","1.73"
"02/01/2023","02","353.9","1.74"
"02/01/2023","02","358.9","1.75"
"02/01/2023","02","363.9","1.76"
"02/01/2023","02","368.9","1.78"
"02/01/2023","02","373.9","1.79"
"02/01/2023","02","383.9","1.84"
"02/01/2023","02","388.9","1.85"
"02/01/2023","02","393.9","1.86"
"02/01/2023","02","403.9","1.97"
"02/01/2023","02","454.9","1.98"
"02/01/2023","02","459.9","1.99"
"02/01/2023","02","466.6","2.08"
"02/01/2023","02","469.7","2.14"
"02/01/2023","02","479.7","2.16"
"02/01/2023","02","489.7","2.17"
"02/01/2023","02","501.4","2.25"
"02/01/2023","02","511.4","2.26"
"02/01/2023","02","531.4","2.27"
"02/01/2023","02","536.4","2.28"
"02/01/2023","02","541.4","2.38"
"02/01/2023","02","554.4","2.39"
"02/01/2023","02","571.4","2.4"
"02/01/2023","02","577.7","2.42"
"02/01/2023","02","628.7","2.49"
"02/01/2023","02","636.7","2.54"
"02/01/2023","02","644.7","2.55"
"02/01/2023","02","646.8","2.56"
"02/01/2023","02","656.8","2.66"
"02/01/2023","02","666.8","2.67"
"02/01/2023","02","679.3","2.81"
"02/01/2023","02","685.6","2.86"
"02/01/2023","02","704.4","2.87"
"02/01/2023","02","718.4","2.98"
"02/01/2023","02","733.4","3.07"
"02/01/2023","02","737.2","3.08"
"02/01/2023","02","749.7","3.13"
"02/01/2023","02","756","3.17"
"02/01/2023","02","762.3","3.2"
"02/01/2023","02","765.4","3.42"
"02/01/2023","02","780.4","3.69"
"02/01/2023","02","800.4","5.01"
"02/01/2023","02","822.9","5.69"
"02/01/2023","02","824.9","7"
"02/01/2023","02","834.9","7.01"
"02/01/2023","02","839.9","7.98"
"02/01/2023","02","858.7","8"
"02/01/2023","02","878.7","9.95"
"02/01/2023","02","889.8","10"
"02/01/2023","02","892.3","10.01"
"02/01/2023","02","914.8","10.69"
"02/01/2023","02","927.6","12"
"02/01/2023","02","975","15"
"02/01/2023","02","1025","15.15"
"02/01/2023","02","1049","15.69"
"02/01/2023","02","1061","18.69"
"02/01/2023","02","1062","19.87"
"02/01/2023","02","1067","20"
"02/01/2023","02","1101.5","20.69"
"02/01/2023","02","1102.5","24.87"
"02/01/2023","02","1132.5","33"
"02/01/2023","02","1162.5","35.69"
"02/01/2023","02","1170.5","41.76"
"02/01/2023","02","1178.5","46.76"
"02/01/2023","02","1181.5","51.76"
"02/01/2023","02","1221.5","95.15"
"02/01/2023","02","1233.8","100"
"02/01/2023","02","1235.8","250"
"02/01/2023","02","1247.8","1000"
"02/01/2023","02","1269.8","2000"
"02/01/2023","02","1269.9","5000"
"02/01/2023","03","56.8","0"
"02/01/2023","03","62.8",".01"
"02/01/2023","03","118.8",".79"
"02/01/2023","03","120.8",".91"
"02/01/2023","03","121.9",".92"
"02/01/2023","03","126.9",".94"
"02/01/2023","03","136.9",".95"
"02/01/2023","03","141.9",".96"
"02/01/2023","03","263.9",".99"
"02/01/2023","03","278.9","1.1"
"02/01/2023","03","283.9","1.11"
"02/01/2023","03","293.9","1.12"
"02/01/2023","03","298.9","1.13"
"02/01/2023","03","303.9","1.14"
"02/01/2023","03","313.9","1.18"
"02/01/2023","03","323.9","1.19"
"02/01/2023","03","328.9","1.27"
"02/01/2023","03","343.9","1.28"
"02/01/2023","03","385.9","1.29"
"02/01/2023","03","392.6","1.36"
"02/01/2023","03","395.7","1.4"
