"Delivery Date","Hour Ending","MW Offered","REGUP Offer Price"
"02/01/2023","01","51.8","0"
"02/01/2023","01","61.8",".01"
"02/01/2023","01","117.8",".79"
"02/01/2023","01","159.8",".99"
"02/01/2023","01","201.8","1.29"
"02/01/2023","01","224.3","1.4"
"02/01/2023","01","248.3","1.7"
"02/01/2023","01","263.3","1.8"
"02/01/2023","01","280.8","1.95"
"02/01/2023","01","326.8","1.98"
"02/01/2023","01","345","2"
"02/01/2023","01","357","2.21"
"02/01/2023","01","394","2.49"
"02/01/2023","01","418","2.65"
"02/01/2023","01","426","2.71"
"02/01/2023","01","436","2.8"
"02/01/2023","01","516","3.01"
"02/01/2023","01","526","4"
"02/01/2023","01","539","7.95"
"02/01/2023","01","569","8"
"02/01/2023","01","574","8.59"
"02/01/2023","01","598","8.65"
"02/01/2023","01","618","9.98"
"02/01/2023","01","631.2","10"
"02/01/2023","01","726.2","11.25"
"02/01/2023","01","739.4","13"
"02/01/2023","01","763.4","14.65"
"02/01/2023","01","781","18.2"
"02/01/2023","01","792","20"
"02/01/2023","01","799.5","20.01"
"02/01/2023","01","819.5","21.99"
"02/01/2023","01","835.5","22.53"
"02/01/2023","01","854.5","22.65"
"02/01/2023","01","862","22.68"
"02/01/2023","01","882","22.95"
"02/01/2023","01","889.5","23.14"
"02/01/2023","01","899.5","23.19"
"02/01/2023","01","919.5","23.31"
"02/01/2023","01","927","23.49"
"02/01/2023","01","947","23.62"
"02/01/2023","01","959","23.78"
"02/01/2023","01","973","24.04"
"02/01/2023","01","993","24.17"
"02/01/2023","01","1005","24.41"
"02/01/2023","01","1010","25"
"02/01/2023","01","1030","25.08"
"02/01/2023","01","1044","25.31"
"02/01/2023","01","1064","25.63"
"02/01/2023","01","1084","25.71"
"02/01/2023","01","1096","25.86"
"02/01/2023","01","1110","26.02"
"02/01/2023","01","1125","26.19"
"02/01/2023","01","1137","26.21"
"02/01/2023","01","1152","26.24"
"02/01/2023","01","1167","26.91"
"02/01/2023","01","1182","27.01"
"02/01/2023","01","1202","27.61"
"02/01/2023","01","1218","27.83"
"02/01/2023","01","1240.5","27.9"
"02/01/2023","01","1255.5","28.28"
"02/01/2023","01","1270.5","28.5"
"02/01/2023","01","1293","28.9"
"02/01/2023","01","1300.5","29.06"
"02/01/2023","01","1308","29.17"
"02/01/2023","01","1323","29.92"
"02/01/2023","01","1338","30.13"
"02/01/2023","01","1353","30.29"
"02/01/2023","01","1363","75"
"02/01/2023","01","1375.1","100"
"02/01/2023","01","1397.1","2000"
"02/01/2023","01","1397.2","5000"
"02/01/2023","02","51.8","0"
"02/01/2023","02","61.8",".01"
"02/01/2023","02","117.8",".79"
"02/01/2023","02","159.8",".99"
"02/01/2023","02","201.8","1.29"
"02/01/2023","02","224.3","1.4"
"02/01/2023","02","248.3","1.7"
"02/01/2023","02","263.3","1.8"
"02/01/2023","02","280.8","1.95"
"02/01/2023","02","326.8","1.98"
"02/01/2023","02","345","2"
"02/01/2023","02","357","2.21"
"02/01/2023","02","394","2.49"
"02/01/2023","02","418","2.65"
"02/01/2023","02","426","2.71"
"02/01/2023","02","436","2.8"
"02/01/2023","02","516","2.96"
"02/01/2023","02","526","4"
"02/01/2023","02","539","7.95"
"02/01/2023","02","569","8"
"02/01/2023","02","579","8.59"
"02/01/2023","02","603","8.65"
"02/01/2023","02","623","9.95"
"02/01/2023","02","635.9","10"
"02/01/2023","02","730.9","11.25"
"02/01/2023","02","743.8","13"
"02/01/2023","02","767.8","14.65"
"02/01/2023","02","775.3","14.71"
"02/01/2023","02","795.3","16.25"
"02/01/2023","02","811.3","16.8"
"02/01/2023","02","831.3","17.22"
"02/01/2023","02","838.8","17.4"
"02/01/2023","02","848.8","17.46"
"02/01/2023","02","868.8","17.6"
"02/01/2023","02","876.3","17.87"
"02/01/2023","02","896.3","17.9"
"02/01/2023","02","908.3","18.06"
"02/01/2023","02","925.5","18.2"
"02/01/2023","02","933","18.22"
"02/01/2023","02","947","18.33"
"02/01/2023","02","967","18.46"
"02/01/2023","02","979","18.7"
"02/01/2023","02","999","19.37"
"02/01/2023","02","1013","19.6"
"02/01/2023","02","1033","19.93"
"02/01/2023","02","1044","20"
"02/01/2023","02","1064","20.01"
"02/01/2023","02","1076","20.16"
"02/01/2023","02","1090","20.32"
"02/01/2023","02","1105","20.49"
"02/01/2023","02","1117","20.52"
"02/01/2023","02","1132","20.54"
"02/01/2023","02","1147","21.22"
"02/01/2023","02","1162","21.32"
"02/01/2023","02","1182","21.93"
"02/01/2023","02","1198","22.14"
"02/01/2023","02","1220.5","22.37"
"02/01/2023","02","1235.5","22.6"
"02/01/2023","02","1254.5","22.65"
"02/01/2023","02","1269.5","22.83"
"02/01/2023","02","1277","23.05"
"02/01/2023","02","1299.5","23.37"
"02/01/2023","02","1307","23.84"
"02/01/2023","02","1322","24.25"
"02/01/2023","02","1337","24.47"
"02/01/2023","02","1352","24.63"
"02/01/2023","02","1357","25"
"02/01/2023","02","1367","75"
"02/01/2023","02","1377.7","100"
"02/01/2023","02","1399.7","2000"
"02/01/2023","02","1399.8","5000"
"02/01/2023","03","51.8","0"
"02/01/2023","03","61.8",".01"
"02/01/2023","03","117.8",".79"
"02/01/2023","03","159.8",".99"
"02/01/2023","03","201.8","1.29"
"02/01/2023","03","224.3","1.4"
"02/01/2023","03","248.3","1.7"
"02/01/2023","03","263.3","1.8"
"02/01/2023","03","280.8","1.95"
"02/01/2023","03","326.8","1.98"
"02/01/2023","03","345","2"
"02/01/2023","03","357","2.21"
"02/01/2023","03","394","2.49"
"02/01/2023","03","418","2.65"
"02/01/2023","03","426","2.71"
"02/01/2023","03","436","2.8"
"02/01/2023","03","516","2.97"
"02/01/2023","03","526","4"
"02/01/2023","03","539","7.95"
"02/01/2023","03","569","8"
"02/01/2023","03","574","8.59"
"02/01/2023","03","598","8.65"
"02/01/2023","03","618","9.94"
"02/01/2023","03","630.9","10"
"02/01/2023","03","725.9","11.25"
"02/01/2023","03","738.8","13"
"02/01/2023","03","746.3","13.13"
"02/01/2023","03","766.3","14.55"
"02/01/2023","03","790.3","14.65"
"02/01/2023","03","806.3","15.1"
"02/01/2023","03","826.3","15.46"
"02/01/2023","03","833.8","15.63"
"02/01/2023","03","843.8","15.7"
"02/01/2023","03","863.8","15.8"
"02/01/2023","03","871.3","16.06"
"02/01/2023","03","891.3","16.09"
"02/01/2023","03","903.3","16.26"
"02/01/2023","03","910.8","16.39"
"02/01/2023","03","924.8","16.51"
"02/01/2023","03","944.8","16.61"
"02/01/2023","03","956.8","16.85"
"02/01/2023","03","976.8","17.47"
"02/01/2023","03","990.8","17.69"
"02/01/2023","03","1010.8","17.98"
"02/01/2023","03","1030.8","18.05"
"02/01/2023","03","1048","18.2"
"02/01/2023","03","1060","18.22"
"02/01/2023","03","1074","18.37"
"02/01/2023","03","1089","18.52"
"02/01/2023","03","1101","18.53"
"02/01/2023","03","1116","18.56"
"02/01/2023","03","1131","19.19"
"02/01/2023","03","1146","19.3"
"02/01/2023","03","1166","19.85"
"02/01/2023","03","1177","20"
"02/01/2023","03","1193","20.07"
"02/01/2023","03","1215.5","20.26"
"02/01/2023","03","1230.5","20.48"
"02/01/2023","03","1245.5","20.7"
"02/01/2023","03","1253","20.91"
"02/01/2023","03","1275.5","21.19"
"02/01/2023","03","1283","21.6"
"02/01/2023","03","1298","22.03"
"02/01/2023","03","1313","22.23"
"02/01/2023","03","1328","22.38"
"02/01/2023","03","1347","22.65"
"02/01/2023","03","1352","25"
"02/01/2023","03","1362","75"
"02/01/2023","03","1372.9","100"
"02/01/2023","03","1394.9","2000"
"02/01/2023","03","1395","5000"
"02/01/2023","04","51.8","0"
"02/01/2023","04","61.8",".01"
"02/01/2023","04","117.8",".79"
"02/01/2023","04","159.8",".99"
"02/01/2023","04","201.8","1.29"
"02/01/2023","04","224.3","1.4"
"02/01/2023","04","248.3","1.7"
"02/01/2023","04","263.3","1.8"
"02/01/2023","04","280.8","1.95"
"02/01/2023","04","326.8","1.98"
"02/01/2023","04","345","2"
"02/01/2023","04","357","2.21"
"02/01/2023","04","394","2.49"
"02/01/2023","04","418","2.65"
"02/01/2023","04","426","2.71"
"02/01/2023","04","436","2.8"
"02/01/2023","04","516","2.98"
"02/01/2023","04","526","4"
"02/01/2023","04","539","7.95"
"02/01/2023","04","569","8"
"02/01/2023","04","579","8.59"
"02/01/2023","04","603","8.65"
"02/01/2023","04","623","9.96"
"02/01/2023","04","635.9","10"
"02/01/2023","04","730.9","11.25"
"02/01/2023","04","743.8","13"
"02/01/2023","04","751.3","13.83"
"02/01/2023","04","775.3","14.65"
"02/01/2023","04","795.3","15.31"
"02/01/2023","04","811.3","15.86"
"02/01/2023","04","831.3","16.19"
"02/01/2023","04","838.8","16.23"
"02/01/2023","04","848.8","16.43"
"02/01/2023","04","868.8","16.51"
"02/01/2023","04","876.3","16.64"
"02/01/2023","04","896.3","16.79"
"02/01/2023","04","903.8","16.96"
"02/01/2023","04","915.8","16.98"
"02/01/2023","04","929.8","17.22"
"02/01/2023","04","949.8","17.3"
"02/01/2023","04","961.8","17.54"
"02/01/2023","04","981.8","18.12"
"02/01/2023","04","999","18.2"
"02/01/2023","04","1013","18.35"
"02/01/2023","04","1033","18.62"
"02/01/2023","04","1053","18.69"
"02/01/2023","04","1065","18.85"
"02/01/2023","04","1079","19"
"02/01/2023","04","1094","19.13"
"02/01/2023","04","1106","19.15"
"02/01/2023","04","1121","19.18"
"02/01/2023","04","1136","19.79"
"02/01/2023","04","1151","19.89"
"02/01/2023","04","1162","20"
"02/01/2023","04","1182","20.42"
"02/01/2023","04","1198","20.63"
"02/01/2023","04","1220.5","20.76"
"02/01/2023","04","1235.5","21.02"
"02/01/2023","04","1250.5","21.23"
"02/01/2023","04","1258","21.57"
"02/01/2023","04","1280.5","21.66"
"02/01/2023","04","1288","21.95"
"02/01/2023","04","1303","22.51"
"02/01/2023","04","1322","22.65"
"02/01/2023","04","1337","22.7"
"02/01/2023","04","1352","22.85"
"02/01/2023","04","1357","25"
"02/01/2023","04","1367","75"
"02/01/2023","04","1381.1","100"
"02/01/2023","04","1403.1","2000"
"02/01/2023","04","1403.2","5000"
"02/01/2023","05","51.8","0"
"02/01/2023","05","61.8",".01"
"02/01/2023","05","117.8",".79"
"02/01/2023","05","159.8",".99"
"02/01/2023","05","201.8","1.29"
"02/01/2023","05","224.3","1.4"
"02/01/2023","05","248.3","1.7"
"02/01/2023","05","263.3","1.8"
"02/01/2023","05","280.8","1.95"
"02/01/2023","05","326.8","1.98"
