"Delivery Date","Hour Ending","Total Cleared AS - RRSUFR"
"02/01/2023","1","902.2"
"02/01/2023","2","898.8"
"02/01/2023","3","909.6"
"02/01/2023","4","911.9"
"02/01/2023","5","916.4"
"02/01/2023","6","1040.9"
"02/01/2023","7","1116.4"
"02/01/2023","8","1122.1"
"02/01/2023","9","1121.2"
"02/01/2023","10","1117.6"
"02/01/2023","11","1154.8"
"02/01/2023","12","1150.8"
"02/01/2023","13","1146.7"
"02/01/2023","14","1141.5"
"02/01/2023","15","1092.8"
"02/01/2023","16","1092.8"
"02/01/2023","17","1094.7"
"02/01/2023","18","1077"
"02/01/2023","19","1090.6"
"02/01/2023","20","1092.4"
"02/01/2023","21","1099.9"
"02/01/2023","22","1104.6"
"02/01/2023","23","1178.4"
"02/01/2023","24","1173.3"
