"Delivery Date","Hour Ending","MW Offered","RRSPFR Offer Price"
"02/01/2023","01","164.5","0"
"02/01/2023","01","189.3",".01"
"02/01/2023","01","192.3",".29"
"02/01/2023","01","195.3",".49"
"02/01/2023","01","225",".5"
"02/01/2023","01","317.8",".51"
"02/01/2023","01","373.8",".63"
"02/01/2023","01","386.8",".73"
"02/01/2023","01","401.8",".75"
"02/01/2023","01","428.8",".78"
"02/01/2023","01","503.3",".79"
"02/01/2023","01","530.3",".8"
"02/01/2023","01","583.3",".81"
"02/01/2023","01","596.3",".82"
"02/01/2023","01","660.2",".89"
"02/01/2023","01","702.2",".99"
"02/01/2023","01","933.2","1"
"02/01/2023","01","973.2","1.01"
"02/01/2023","01","977.2","1.19"
"02/01/2023","01","1100.6","1.2"
"02/01/2023","01","1195.6","1.25"
"02/01/2023","01","1302.1","1.29"
"02/01/2023","01","1362.1","1.3"
"02/01/2023","01","1462.1","1.34"
"02/01/2023","01","1465.1","1.49"
"02/01/2023","01","1523.1","1.5"
"02/01/2023","01","1571.1","1.56"
"02/01/2023","01","1631.1","1.89"
"02/01/2023","01","1679.6","1.95"
"02/01/2023","01","1727.1","1.98"
"02/01/2023","01","1770.8","2"
"02/01/2023","01","1850.8","2.15"
"02/01/2023","01","1870.8","2.29"
"02/01/2023","01","1885","2.4"
"02/01/2023","01","1897","2.41"
"02/01/2023","01","1938","2.49"
"02/01/2023","01","1958.7","2.81"
"02/01/2023","01","1998.7","2.89"
"02/01/2023","01","2103.5","3"
"02/01/2023","01","2113.5","3.39"
"02/01/2023","01","2123.5","4"
"02/01/2023","01","2131.7","4.05"
"02/01/2023","01","2140.7","4.06"
"02/01/2023","01","2174.7","4.95"
"02/01/2023","01","2177.7","4.97"
"02/01/2023","01","2279.7","5"
"02/01/2023","01","2303.2","5.69"
"02/01/2023","01","2306.2","7"
"02/01/2023","01","2309.2","8"
"02/01/2023","01","2381.2","8.15"
"02/01/2023","01","2384.2","9"
"02/01/2023","01","2404.2","9.99"
"02/01/2023","01","2464.2","10"
"02/01/2023","01","2536.2","14.15"
"02/01/2023","01","2550.2","14.21"
"02/01/2023","01","2552.2","19.99"
"02/01/2023","01","2559.7","21.99"
"02/01/2023","01","2567.2","24.02"
"02/01/2023","01","2587.2","24.06"
"02/01/2023","01","2603.2","24.61"
"02/01/2023","01","2623.2","25.15"
"02/01/2023","01","2633.2","25.39"
"02/01/2023","01","2653.2","25.61"
"02/01/2023","01","2660.7","25.64"
"02/01/2023","01","2680.7","25.94"
"02/01/2023","01","2692.7","26.08"
"02/01/2023","01","2706.7","26.37"
"02/01/2023","01","2726.7","26.55"
