"Delivery Date","Hour Ending","Total Self-Arranged AS - RegUp"
"02/01/2023","1","7.5"
"02/01/2023","2","6.6"
"02/01/2023","3","6.7"
"02/01/2023","4","8.6"
"02/01/2023","5","12.4"
"02/01/2023","6","16.3"
"02/01/2023","7","19.7"
"02/01/2023","8","13.1"
"02/01/2023","9","10.2"
"02/01/2023","10","14.2"
"02/01/2023","11","14"
"02/01/2023","12","12.8"
"02/01/2023","13","13.4"
"02/01/2023","14","14.8"
"02/01/2023","15","14.7"
"02/01/2023","16","16.7"
"02/01/2023","17","19.6"
"02/01/2023","18","26.7"
"02/01/2023","19","21.2"
"02/01/2023","20","7.6"
"02/01/2023","21","8.1"
"02/01/2023","22","5.9"
"02/01/2023","23","8.1"
"02/01/2023","24","5.7"
