"Delivery Date","Hour Ending","MW Offered","OFFNS Offer Price"
"02/01/2023","01","596.2",".01"
"02/01/2023","01","699.2",".25"
"02/01/2023","01","743.2",".92"
"02/01/2023","01","787.2",".94"
"02/01/2023","01","835.2",".95"
"02/01/2023","01","879.2",".96"
"02/01/2023","01","923.2",".97"
"02/01/2023","01","1212.7",".99"
"02/01/2023","01","1316.2","1"
"02/01/2023","01","1373.5","1.04"
"02/01/2023","01","1431","1.09"
"02/01/2023","01","1487.8","1.11"
"02/01/2023","01","1551.2","1.13"
"02/01/2023","01","1610.2","2"
"02/01/2023","01","1670.7","2.3"
"02/01/2023","01","1738.7","2.45"
"02/01/2023","01","1806.7","2.65"
"02/01/2023","01","2012.7","2.72"
"02/01/2023","01","2079.7","2.85"
"02/01/2023","01","2131.7","3"
"02/01/2023","01","2146.7","3.01"
"02/01/2023","01","2213.7","3.3"
"02/01/2023","01","2281.7","3.75"
"02/01/2023","01","2327.7","4"
"02/01/2023","01","2342.7","4.01"
"02/01/2023","01","2410.7","4.8"
"02/01/2023","01","2446.7","5"
"02/01/2023","01","2689.7","10.8"
"02/01/2023","01","2932.7","25.8"
"02/01/2023","01","2963.7","50"
"02/01/2023","01","2994.4","80"
"02/01/2023","01","3025.1","110"
"02/01/2023","01","3055.4","140"
"02/01/2023","01","3084.6","170"
"02/01/2023","01","3112.6","200"
"02/01/2023","01","3140.6","230"
"02/01/2023","01","3169.8","260"
"02/01/2023","01","3196.8","290"
"02/01/2023","01","3226","320"
"02/01/2023","01","3252","350"
"02/01/2023","01","3275","380"
"02/01/2023","01","3300","410"
"02/01/2023","01","3322","440"
"02/01/2023","01","3349","470"
"02/01/2023","02","591.7",".01"
"02/01/2023","02","694.7",".25"
"02/01/2023","02","742.7",".89"
"02/01/2023","02","786.7",".92"
"02/01/2023","02","830.7",".94"
"02/01/2023","02","874.7",".96"
"02/01/2023","02","918.7",".97"
"02/01/2023","02","1209.7",".99"
"02/01/2023","02","1313.2","1"
"02/01/2023","02","1370.5","1.04"
"02/01/2023","02","1428","1.09"
"02/01/2023","02","1484.8","1.11"
"02/01/2023","02","1548.2","1.13"
"02/01/2023","02","1607.2","2"
"02/01/2023","02","1667.7","2.3"
"02/01/2023","02","1735.7","2.45"
"02/01/2023","02","1803.7","2.65"
"02/01/2023","02","2009.7","2.72"
"02/01/2023","02","2076.7","2.85"
"02/01/2023","02","2128.7","3"
"02/01/2023","02","2143.7","3.01"
"02/01/2023","02","2210.7","3.3"
"02/01/2023","02","2278.7","3.75"
"02/01/2023","02","2324.7","4"
"02/01/2023","02","2339.7","4.01"
"02/01/2023","02","2407.7","4.8"
"02/01/2023","02","2443.7","5"
"02/01/2023","02","2686.7","10.8"
"02/01/2023","02","2929.7","25.8"
"02/01/2023","02","2960.9","50"
"02/01/2023","02","2991.8","80"
"02/01/2023","02","3022.7","110"
"02/01/2023","02","3053.2","140"
"02/01/2023","02","3082.6","170"
"02/01/2023","02","3110.8","200"
"02/01/2023","02","3139","230"
"02/01/2023","02","3168.4","260"
"02/01/2023","02","3195.6","290"
"02/01/2023","02","3225","320"
"02/01/2023","02","3251.2","350"
"02/01/2023","02","3274.4","380"
"02/01/2023","02","3299.6","410"
"02/01/2023","02","3321.8","440"
"02/01/2023","02","3349","470"
"02/01/2023","03","724.8",".01"
"02/01/2023","03","827.8",".25"
"02/01/2023","03","875.8",".89"
"02/01/2023","03","919.8",".92"
"02/01/2023","03","963.8",".94"
"02/01/2023","03","1007.8",".96"
"02/01/2023","03","1051.8",".97"
"02/01/2023","03","1290.3",".99"
"02/01/2023","03","1393.8","1"
"02/01/2023","03","1451.1","1.04"
"02/01/2023","03","1508.6","1.09"
"02/01/2023","03","1565.4","1.11"
"02/01/2023","03","1628.8","1.13"
"02/01/2023","03","1687.8","2"
"02/01/2023","03","1748.3","2.3"
"02/01/2023","03","1816.3","2.45"
"02/01/2023","03","1884.3","2.65"
"02/01/2023","03","2090.3","2.72"
"02/01/2023","03","2157.3","2.85"
"02/01/2023","03","2209.3","3"
"02/01/2023","03","2224.3","3.01"
"02/01/2023","03","2291.3","3.3"
"02/01/2023","03","2359.3","3.75"
"02/01/2023","03","2405.3","4"
"02/01/2023","03","2420.3","4.01"
"02/01/2023","03","2488.3","4.8"
"02/01/2023","03","2524.3","5"
"02/01/2023","03","2767.3","10.8"
"02/01/2023","03","3010.3","25.8"
"02/01/2023","03","3035.9","50"
"02/01/2023","03","3061.2","80"
"02/01/2023","03","3086.5","110"
"02/01/2023","03","3111.5","140"
"02/01/2023","03","3135.6","170"
"02/01/2023","03","3158.5","200"
"02/01/2023","03","3181.4","230"
"02/01/2023","03","3205.5","260"
"02/01/2023","03","3227.4","290"
"02/01/2023","03","3251.5","320"
"02/01/2023","03","3272.4","350"
"02/01/2023","03","3290.3","380"
"02/01/2023","03","3310.2","410"
"02/01/2023","03","3327.1","440"
"02/01/2023","03","3349","470"
"02/01/2023","04","733",".01"
"02/01/2023","04","836",".25"
"02/01/2023","04","884",".9"
"02/01/2023","04","928",".92"
"02/01/2023","04","972",".94"
"02/01/2023","04","1016",".96"
"02/01/2023","04","1060",".97"
