"Delivery Date","Hour Ending","MW Offered","OFFNS Offer Price"
"01/31/2023","01","660.7",".01"
"01/31/2023","01","763.7",".25"
"01/31/2023","01","830.7",".45"
"01/31/2023","01","1066.2",".61"
"01/31/2023","01","1067.2",".64"
"01/31/2023","01","1134.2",".65"
"01/31/2023","01","1135.2",".66"
"01/31/2023","01","1136.2",".67"
"01/31/2023","01","1137.2",".69"
"01/31/2023","01","1138.2",".71"
"01/31/2023","01","1139.2",".72"
"01/31/2023","01","1140.1",".74"
"01/31/2023","01","1141",".76"
"01/31/2023","01","1141.9",".77"
"01/31/2023","01","1142.8",".79"
"01/31/2023","01","1143.7",".81"
"01/31/2023","01","1144.6",".82"
"01/31/2023","01","1145.5",".84"
"01/31/2023","01","1210.5",".85"
"01/31/2023","01","1211.4",".86"
"01/31/2023","01","1212.3",".87"
"01/31/2023","01","1213.2",".89"
"01/31/2023","01","1214",".91"
"01/31/2023","01","1258.8",".92"
"01/31/2023","01","1303.7",".94"
"01/31/2023","01","1351.7",".95"
"01/31/2023","01","1396.6",".96"
"01/31/2023","01","1441.4",".97"
"01/31/2023","01","1442.2",".99"
"01/31/2023","01","1455.7","1"
"01/31/2023","01","1456.5","1.01"
"01/31/2023","01","1457.3","1.02"
"01/31/2023","01","1514.4","1.04"
"01/31/2023","01","1515.2","1.06"
"01/31/2023","01","1516","1.07"
"01/31/2023","01","1572.3","1.09"
"01/31/2023","01","1628.9","1.11"
"01/31/2023","01","1629.7","1.12"
"01/31/2023","01","1688.7","1.13"
"01/31/2023","01","1733.7","1.22"
"01/31/2023","01","1798.7","1.3"
"01/31/2023","01","1843.7","1.42"
"01/31/2023","01","1911.7","1.75"
"01/31/2023","01","1970.7","2"
"01/31/2023","01","2028.1","2.3"
"01/31/2023","01","2234.1","2.72"
"01/31/2023","01","2302.1","2.8"
"01/31/2023","01","2348.1","3"
"01/31/2023","01","2363.1","3.01"
"01/31/2023","01","2409.1","4"
"01/31/2023","01","2424.1","4.01"
"01/31/2023","01","2460.1","5"
"01/31/2023","01","2700.1","8.8"
"01/31/2023","01","2938.1","23.8"
"01/31/2023","01","2966.1","50"
"01/31/2023","01","2993.7","80"
"01/31/2023","01","3021.3","110"
"01/31/2023","01","3048.6","140"
"01/31/2023","01","3075.2","170"
"01/31/2023","01","3101.1","200"
"01/31/2023","01","3127","230"
"01/31/2023","01","3153.3","260"
"01/31/2023","01","3178.4","290"
"01/31/2023","01","3205","320"
"01/31/2023","01","3227.1","350"
"01/31/2023","01","3247.2","380"
"01/31/2023","01","3269.3","410"
"01/31/2023","01","3288.4","440"
"01/31/2023","01","3311.5","470"
"01/31/2023","02","659.4",".01"
"01/31/2023","02","762.4",".25"
"01/31/2023","02","829.4",".45"
"01/31/2023","02","1090.4",".56"
"01/31/2023","02","1157.4",".65"
"01/31/2023","02","1222.4",".85"
"01/31/2023","02","1270.4",".89"
"01/31/2023","02","1314.4",".92"
"01/31/2023","02","1358.4",".94"
"01/31/2023","02","1402.4",".96"
"01/31/2023","02","1446.4",".97"
"01/31/2023","02","1459.9","1"
"01/31/2023","02","1516.2","1.04"
"01/31/2023","02","1571.7","1.09"
"01/31/2023","02","1627.5","1.11"
"01/31/2023","02","1686.5","1.13"
"01/31/2023","02","1731.5","1.22"
"01/31/2023","02","1796.5","1.3"
"01/31/2023","02","1841.5","1.42"
"01/31/2023","02","1909.5","1.75"
"01/31/2023","02","1968.5","2"
"01/31/2023","02","2025.9","2.3"
"01/31/2023","02","2231.9","2.72"
"01/31/2023","02","2299.9","2.8"
"01/31/2023","02","2345.9","3"
"01/31/2023","02","2360.9","3.01"
"01/31/2023","02","2406.9","4"
"01/31/2023","02","2421.9","4.01"
"01/31/2023","02","2457.9","5"
"01/31/2023","02","2697.9","8.8"
"01/31/2023","02","2935.9","23.8"
"01/31/2023","02","2964","50"
"01/31/2023","02","2991.8","80"
"01/31/2023","02","3019.6","110"
"01/31/2023","02","3047","140"
"01/31/2023","02","3073.8","170"
"01/31/2023","02","3099.9","200"
"01/31/2023","02","3126","230"
"01/31/2023","02","3152.5","260"
"01/31/2023","02","3177.7","290"
"01/31/2023","02","3204.5","320"
"01/31/2023","02","3226.7","350"
"01/31/2023","02","3246.9","380"
"01/31/2023","02","3269.1","410"
"01/31/2023","02","3288.3","440"
"01/31/2023","02","3311.5","470"
"01/31/2023","03","680.8",".01"
"01/31/2023","03","783.8",".25"
"01/31/2023","03","850.8",".45"
"01/31/2023","03","917.8",".65"
"01/31/2023","03","1145.8",".73"
"01/31/2023","03","1146.7",".76"
"01/31/2023","03","1147.6",".78"
"01/31/2023","03","1148.5",".79"
"01/31/2023","03","1149.4",".81"
"01/31/2023","03","1150.3",".83"
"01/31/2023","03","1151.2",".84"
"01/31/2023","03","1216.2",".85"
"01/31/2023","03","1217.1",".86"
"01/31/2023","03","1218",".88"
"01/31/2023","03","1266.8",".89"
"01/31/2023","03","1267.6",".91"
"01/31/2023","03","1311.6",".92"
"01/31/2023","03","1312.4",".93"
"01/31/2023","03","1357.2",".94"
"01/31/2023","03","1402",".96"
"01/31/2023","03","1446",".97"
"01/31/2023","03","1446.8",".98"
"01/31/2023","03","1447.6",".99"
"01/31/2023","03","1461.1","1"
"01/31/2023","03","1461.9","1.01"
"01/31/2023","03","1462.7","1.03"
"01/31/2023","03","1519.8","1.04"
"01/31/2023","03","1520.6","1.06"
"01/31/2023","03","1521.4","1.08"
"01/31/2023","03","1577.7","1.09"
"01/31/2023","03","1634.3","1.11"
"01/31/2023","03","1694.1","1.13"
"01/31/2023","03","1694.9","1.14"
"01/31/2023","03","1695.7","1.16"
"01/31/2023","03","1696.5","1.18"
"01/31/2023","03","1697.3","1.19"
"01/31/2023","03","1698.1","1.21"
"01/31/2023","03","1743.1","1.22"
"01/31/2023","03","1743.9","1.23"
"01/31/2023","03","1744.7","1.24"
"01/31/2023","03","1809.7","1.3"
"01/31/2023","03","1854.7","1.42"
"01/31/2023","03","1922.7","1.75"
"01/31/2023","03","1981.7","2"
"01/31/2023","03","2039.1","2.3"
"01/31/2023","03","2245.1","2.72"
"01/31/2023","03","2313.1","2.8"
"01/31/2023","03","2359.1","3"
"01/31/2023","03","2374.1","3.01"
"01/31/2023","03","2420.1","4"
"01/31/2023","03","2435.1","4.01"
"01/31/2023","03","2471.1","5"
"01/31/2023","03","2711.1","8.8"
"01/31/2023","03","2949.1","23.8"
"01/31/2023","03","2976.3","50"
"01/31/2023","03","3003.2","80"
"01/31/2023","03","3030.1","110"
"01/31/2023","03","3056.7","140"
"01/31/2023","03","3082.6","170"
"01/31/2023","03","3107.9","200"
"01/31/2023","03","3133.2","230"
"01/31/2023","03","3158.8","260"
"01/31/2023","03","3183.1","290"
"01/31/2023","03","3209","320"
"01/31/2023","03","3231.3","350"
"01/31/2023","03","3250.6","380"
"01/31/2023","03","3271.9","410"
"01/31/2023","03","3290.2","440"
"01/31/2023","03","3313.5","470"
"01/31/2023","04","677.5",".01"
"01/31/2023","04","744.5",".45"
"01/31/2023","04","811.5",".65"
"01/31/2023","04","1042.5",".73"
"01/31/2023","04","1107.5",".85"
