"Delivery Date","Hour Ending","MW Offered","RRSUFR Offer Price"
"01/31/2023","01","1212.7","0"
"01/31/2023","01","1401.7","15"
"01/31/2023","02","1210.2","0"
"01/31/2023","02","1399.2","15"
"01/31/2023","03","1219.4","0"
"01/31/2023","03","1408.4","15"
"01/31/2023","04","1219.7","0"
"01/31/2023","04","1408.7","15"
"01/31/2023","05","1224.9","0"
"01/31/2023","05","1413.9","15"
"01/31/2023","06","1313.5","0"
"01/31/2023","07","1440.3","0"
"01/31/2023","08","1443.6","0"
"01/31/2023","09","1435","0"
"01/31/2023","10","1558.8","0"
"01/31/2023","11","1502.5","0"
"01/31/2023","12","1503.1","0"
"01/31/2023","13","1503.9","0"
"01/31/2023","14","1485.1","0"
"01/31/2023","15","1468.4","0"
"01/31/2023","16","1468.4","0"
"01/31/2023","17","1461.7","0"
"01/31/2023","18","1344.7","0"
"01/31/2023","19","1365.6","0"
"01/31/2023","20","1368","0"
"01/31/2023","21","1493.5","0"
"01/31/2023","22","1492.5","0"
"01/31/2023","23","1421.2","0"
"01/31/2023","24","1416.2","0"
