"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSUFR"
"01/31/2023","1","585.5"
"01/31/2023","2","588.5"
"01/31/2023","3","580.4"
"01/31/2023","4","579.8"
"01/31/2023","5","575.5"
"01/31/2023","6","537.9"
"01/31/2023","7","499.9"
"01/31/2023","8","496.2"
"01/31/2023","9","497.3"
"01/31/2023","10","500.1"
"01/31/2023","11","510.1"
"01/31/2023","12","510"
"01/31/2023","13","509.8"
"01/31/2023","14","512.6"
"01/31/2023","15","522.2"
"01/31/2023","16","522.3"
"01/31/2023","17","517.7"
"01/31/2023","18","511.4"
"01/31/2023","19","498.4"
"01/31/2023","20","502.3"
"01/31/2023","21","502.6"
"01/31/2023","22","504.3"
"01/31/2023","23","526.7"
"01/31/2023","24","531.6"
