"Delivery Date","Hour Ending","MW Offered","RRSPFR Offer Price"
"01/31/2023","01","164.5","0"
"01/31/2023","01","429.3",".01"
"01/31/2023","01","435.3",".29"
"01/31/2023","01","441.3",".49"
"01/31/2023","01","471",".5"
"01/31/2023","01","527",".63"
"01/31/2023","01","540",".73"
"01/31/2023","01","555",".75"
"01/31/2023","01","582",".78"
"01/31/2023","01","654.5",".79"
"01/31/2023","01","681.5",".8"
"01/31/2023","01","732",".81"
"01/31/2023","01","745",".82"
"01/31/2023","01","752.5",".85"
"01/31/2023","01","812.5",".89"
"01/31/2023","01","852.5",".98"
"01/31/2023","01","894.5",".99"
"01/31/2023","01","1160.5","1"
"01/31/2023","01","1253.3","1.11"
"01/31/2023","01","1259.3","1.19"
"01/31/2023","01","1380.7","1.2"
"01/31/2023","01","1475.7","1.25"
"01/31/2023","01","1585.2","1.29"
"01/31/2023","01","1645.2","1.3"
"01/31/2023","01","1745.2","1.46"
"01/31/2023","01","1751.2","1.49"
"01/31/2023","01","1799.2","1.56"
"01/31/2023","01","1829.9","1.81"
"01/31/2023","01","1889.9","1.89"
"01/31/2023","01","1938.4","1.95"
"01/31/2023","01","1985.9","1.98"
"01/31/2023","01","2033.4","2"
"01/31/2023","01","2105.4","2.15"
"01/31/2023","01","2113.4","2.2"
"01/31/2023","01","2173.4","2.29"
"01/31/2023","01","2187.6","2.4"
"01/31/2023","01","2243.6","2.49"
"01/31/2023","01","2247.5","2.64"
"01/31/2023","01","2377.5","3"
"01/31/2023","01","2387.5","3.39"
"01/31/2023","01","2397.5","4"
"01/31/2023","01","2406.5","4.06"
"01/31/2023","01","2440.5","4.95"
"01/31/2023","01","2443.5","4.97"
"01/31/2023","01","2549.5","5"
"01/31/2023","01","2552.5","7"
"01/31/2023","01","2554.5","7.29"
"01/31/2023","01","2557.5","8"
"01/31/2023","01","2629.5","8.15"
"01/31/2023","01","2634.5","9"
"01/31/2023","01","2657.5","9.29"
"01/31/2023","01","2677.5","9.49"
"01/31/2023","01","2697.5","9.99"
"01/31/2023","01","2757.5","10.01"
"01/31/2023","01","2765","11.61"
"01/31/2023","01","2785","11.78"
"01/31/2023","01","2801","12.33"
"01/31/2023","01","2821","12.8"
"01/31/2023","01","2828.5","12.88"
"01/31/2023","01","2838.5","13.04"
"01/31/2023","01","2858.5","13.59"
"01/31/2023","01","2878.5","13.73"
"01/31/2023","01","2892.5","14.02"
"01/31/2023","01","2964.5","14.15"
"01/31/2023","01","2976.5","14.19"
"01/31/2023","01","2984","15.11"
"01/31/2023","01","3004","15.24"
"01/31/2023","01","3018","15.47"
"01/31/2023","01","3025.5","15.54"
"01/31/2023","01","3040.5","15.8"
"01/31/2023","01","3060.5","15.99"
"01/31/2023","01","3080.5","16.18"
"01/31/2023","01","3094.5","16.3"
"01/31/2023","01","3114.5","16.32"
"01/31/2023","01","3126.5","16.42"
"01/31/2023","01","3134","16.49"
"01/31/2023","01","3141.5","16.5"
"01/31/2023","01","3149","16.51"
"01/31/2023","01","3161","16.55"
"01/31/2023","01","3176","16.64"
"01/31/2023","01","3191","16.75"
"01/31/2023","01","3203","16.9"
"01/31/2023","01","3210.5","17.53"
"01/31/2023","01","3225.5","17.55"
"01/31/2023","01","3240.5","17.58"
"01/31/2023","01","3260.5","18.17"
"01/31/2023","01","3276.5","18.38"
"01/31/2023","01","3278.5","19.99"
"01/31/2023","01","3293.5","20.06"
"01/31/2023","01","3308.5","20.09"
"01/31/2023","01","3313.5","25.63"
"01/31/2023","01","3370.5","29.15"
"01/31/2023","01","3372.5","33.63"
"01/31/2023","01","3378.5","39.2"
"01/31/2023","01","3408.5","100"
"01/31/2023","01","3448.5","400"
"01/31/2023","01","3452.5","800"
"01/31/2023","01","3466.5","892.19"
"01/31/2023","01","3466.6","5000"
"01/31/2023","02","164.5","0"
"01/31/2023","02","444.3",".01"
"01/31/2023","02","450.3",".29"
"01/31/2023","02","456.3",".49"
"01/31/2023","02","486",".5"
"01/31/2023","02","542",".63"
"01/31/2023","02","555",".73"
"01/31/2023","02","570",".75"
"01/31/2023","02","597",".78"
"01/31/2023","02","669.5",".79"
"01/31/2023","02","696.5",".8"
"01/31/2023","02","739.5",".81"
"01/31/2023","02","752.5",".82"
"01/31/2023","02","812.5",".89"
"01/31/2023","02","854.5",".99"
"01/31/2023","02","1120.5","1"
"01/31/2023","02","1160.5","1.01"
