"Delivery Date","Hour Ending","Total Cleared AS - RegUp"
"01/31/2023","1","233.4"
"01/31/2023","2","191"
"01/31/2023","3","246.7"
"01/31/2023","4","256.4"
"01/31/2023","5","338.6"
"01/31/2023","6","516.5"
"01/31/2023","7","622.9"
"01/31/2023","8","379.8"
"01/31/2023","9","300.5"
"01/31/2023","10","385.5"
"01/31/2023","11","398.2"
"01/31/2023","12","341"
"01/31/2023","13","364.9"
"01/31/2023","14","318.8"
"01/31/2023","15","358.3"
"01/31/2023","16","433.6"
"01/31/2023","17","700.8"
"01/31/2023","18","822.8"
"01/31/2023","19","377.1"
"01/31/2023","20","230.3"
"01/31/2023","21","237.2"
"01/31/2023","22","179.7"
"01/31/2023","23","202.2"
"01/31/2023","24","205"
