"Delivery Date","Hour Ending","Total Cleared AS - RRSPFR"
"01/31/2023","1","1134.4"
"01/31/2023","2","1135.6"
"01/31/2023","3","1142"
"01/31/2023","4","1141.6"
"01/31/2023","5","1141.1"
"01/31/2023","6","1137.6"
"01/31/2023","7","1148.9"
"01/31/2023","8","1149.6"
"01/31/2023","9","1150"
"01/31/2023","10","1148.8"
"01/31/2023","11","1143.9"
"01/31/2023","12","1143.5"
"01/31/2023","13","1145.3"
"01/31/2023","14","1159.9"
"01/31/2023","15","1163.1"
"01/31/2023","16","1163.2"
"01/31/2023","17","1163.1"
"01/31/2023","18","1159.6"
"01/31/2023","19","1153"
"01/31/2023","20","1149.1"
"01/31/2023","21","1148"
"01/31/2023","22","1147.9"
"01/31/2023","23","1140.4"
"01/31/2023","24","1141.9"
