"Delivery Date","Hour Ending","Total Cleared AS - RegDown"
"01/31/2023","1","265.7"
"01/31/2023","2","215.6"
"01/31/2023","3","209.9"
"01/31/2023","4","237"
"01/31/2023","5","197.4"
"01/31/2023","6","283.4"
"01/31/2023","7","238.9"
"01/31/2023","8","212"
"01/31/2023","9","721.8"
"01/31/2023","10","530.4"
"01/31/2023","11","473.2"
"01/31/2023","12","438.5"
"01/31/2023","13","399.7"
"01/31/2023","14","372.9"
"01/31/2023","15","427.5"
"01/31/2023","16","375.5"
"01/31/2023","17","289.4"
"01/31/2023","18","216.8"
"01/31/2023","19","293.1"
"01/31/2023","20","258.4"
"01/31/2023","21","274.8"
"01/31/2023","22","295.5"
"01/31/2023","23","375.6"
"01/31/2023","24","325.2"
