"Delivery Date","Hour Ending","MW Offered","REGDN Offer Price"
"01/31/2023","01","56.8","0"
"01/31/2023","01","141.1",".01"
"01/31/2023","01","144.2",".11"
"01/31/2023","01","149.2",".56"
"01/31/2023","01","159.2",".57"
"01/31/2023","01","164.2",".58"
"01/31/2023","01","167.3",".7"
"01/31/2023","01","172.3",".74"
"01/31/2023","01","182.3",".75"
"01/31/2023","01","187.3",".76"
"01/31/2023","01","223.3",".79"
"01/31/2023","01","233.3",".84"
"01/31/2023","01","243.3",".85"
"01/31/2023","01","253.3",".86"
"01/31/2023","01","263.3",".87"
"01/31/2023","01","290.3",".99"
"01/31/2023","01","370.3","1"
"01/31/2023","01","377","1.07"
"01/31/2023","01","382","1.13"
"01/31/2023","01","392","1.14"
"01/31/2023","01","397","1.15"
"01/31/2023","01","403.7","1.22"
"01/31/2023","01","413.7","1.23"
"01/31/2023","01","438.7","1.24"
"01/31/2023","01","448.7","1.27"
"01/31/2023","01","460.7","1.28"
"01/31/2023","01","498.8","1.29"
"01/31/2023","01","508.8","1.3"
"01/31/2023","01","523.8","1.38"
"01/31/2023","01","528.8","1.39"
"01/31/2023","01","538.8","1.4"
"01/31/2023","01","543.8","1.41"
"01/31/2023","01","561.8","1.49"
"01/31/2023","01","563.8","1.52"
"01/31/2023","01","568.1","1.53"
"01/31/2023","01","583.1","1.59"
"01/31/2023","01","588.1","1.6"
"01/31/2023","01","594.4","1.91"
"01/31/2023","01","630.4","1.98"
"01/31/2023","01","666.4","2.49"
"01/31/2023","01","675.4","2.98"
"01/31/2023","01","699.3","3.5"
"01/31/2023","01","709.1","5"
"01/31/2023","01","729.1","5.01"
"01/31/2023","01","744.1","5.69"
"01/31/2023","01","746.1","7"
"01/31/2023","01","756.1","7.01"
"01/31/2023","01","761.1","7.95"
"01/31/2023","01","775.1","8"
"01/31/2023","01","795.1","9.99"
"01/31/2023","01","797.6","10.01"
"01/31/2023","01","803.6","14.5"
"01/31/2023","01","851","15"
"01/31/2023","01","901","15.15"
"01/31/2023","01","923.5","15.69"
"01/31/2023","01","925","15.73"
"01/31/2023","01","926","19.64"
"01/31/2023","01","931","20"
"01/31/2023","01","953.5","20.69"
"01/31/2023","01","954.5","24.64"
"01/31/2023","01","977","25.69"
"01/31/2023","01","1007","33"
"01/31/2023","01","1037","35.69"
"01/31/2023","01","1047","50"
"01/31/2023","01","1055","55"
"01/31/2023","01","1058","60"
"01/31/2023","01","1060","75"
"01/31/2023","01","1100","95.15"
"01/31/2023","01","1116.6","100"
"01/31/2023","01","1118.6","250"
"01/31/2023","01","1120.6","1000"
"01/31/2023","01","1142.6","2000"
"01/31/2023","01","1142.7","5000"
"01/31/2023","02","56.8","0"
"01/31/2023","02","62.8",".01"
"01/31/2023","02","141.1",".09"
"01/31/2023","02","146.1",".65"
"01/31/2023","02","151.1",".66"
"01/31/2023","02","156.1",".67"
"01/31/2023","02","161.1",".68"
"01/31/2023","02","161.2",".71"
"01/31/2023","02","164.2",".73"
"01/31/2023","02","200.2",".79"
"01/31/2023","02","201.2",".8"
"01/31/2023","02","203.3",".81"
"01/31/2023","02","208.3",".85"
"01/31/2023","02","213.3",".86"
"01/31/2023","02","223.3",".87"
"01/31/2023","02","233.3",".96"
"01/31/2023","02","248.3",".97"
"01/31/2023","02","253.3",".98"
"01/31/2023","02","290.3",".99"
"01/31/2023","02","295.3","1"
"01/31/2023","02","375.3","1.03"
"01/31/2023","02","385.3","1.06"
"01/31/2023","02","392","1.21"
"01/31/2023","02","429","1.29"
"01/31/2023","02","439","1.3"
"01/31/2023","02","445.7","1.38"
"01/31/2023","02","450.7","1.39"
"01/31/2023","02","468.7","1.4"
"01/31/2023","02","480.7","1.41"
"01/31/2023","02","485.7","1.43"
"01/31/2023","02","495.7","1.44"
"01/31/2023","02","503.8","1.45"
"01/31/2023","02","513.8","1.46"
"01/31/2023","02","523.8","1.47"
"01/31/2023","02","541.8","1.49"
"01/31/2023","02","556.8","1.56"
"01/31/2023","02","561.8","1.57"
"01/31/2023","02","566.8","1.58"
"01/31/2023","02","576.8","1.59"
"01/31/2023","02","583.1","1.72"
"01/31/2023","02","593.1","1.79"
"01/31/2023","02","603.1","1.8"
"01/31/2023","02","639.1","1.98"
"01/31/2023","02","645.4","2.14"
"01/31/2023","02","681.4","2.49"
"01/31/2023","02","690.4","2.98"
"01/31/2023","02","714.3","3.5"
"01/31/2023","02","724.1","5"
"01/31/2023","02","744.1","5.01"
"01/31/2023","02","759.1","5.69"
"01/31/2023","02","761.1","7"
"01/31/2023","02","771.1","7.01"
"01/31/2023","02","781.1","7.95"
"01/31/2023","02","795.1","8"
"01/31/2023","02","815.1","9.93"
"01/31/2023","02","817.6","10.01"
"01/31/2023","02","865","15"
"01/31/2023","02","915","15.15"
"01/31/2023","02","937.5","15.69"
"01/31/2023","02","943.5","17.37"
"01/31/2023","02","945","18.82"
"01/31/2023","02","946","19.87"
"01/31/2023","02","951","20"
"01/31/2023","02","973.5","20.69"
"01/31/2023","02","974.5","24.87"
"01/31/2023","02","997","25.69"
"01/31/2023","02","1027","33"
"01/31/2023","02","1057","35.69"
"01/31/2023","02","1065","41.76"
"01/31/2023","02","1073","46.76"
"01/31/2023","02","1075","50"
"01/31/2023","02","1078","51.76"
"01/31/2023","02","1080","75"
"01/31/2023","02","1120","95.15"
"01/31/2023","02","1133.7","100"
"01/31/2023","02","1135.7","250"
"01/31/2023","02","1137.7","1000"
"01/31/2023","02","1159.7","2000"
"01/31/2023","02","1159.8","5000"
"01/31/2023","03","56.8","0"
"01/31/2023","03","141.1",".01"
"01/31/2023","03","146.1",".59"
"01/31/2023","03","156.1",".6"
"01/31/2023","03","161.1",".61"
"01/31/2023","03","163.1",".7"
"01/31/2023","03","164.2",".71"
"01/31/2023","03","179.3",".74"
"01/31/2023","03","184.3",".75"
"01/31/2023","03","185.3",".76"
"01/31/2023","03","187.3",".77"
"01/31/2023","03","223.3",".79"
"01/31/2023","03","243.3",".82"
"01/31/2023","03","263.3",".83"
"01/31/2023","03","290.3",".99"
"01/31/2023","03","297","1"
"01/31/2023","03","392","1.05"
"01/31/2023","03","397","1.06"
"01/31/2023","03","408.7","1.12"
"01/31/2023","03","438.7","1.13"
"01/31/2023","03","443.7","1.15"
"01/31/2023","03","458.7","1.16"
"01/31/2023","03","471.8","1.17"
"01/31/2023","03","481.8","1.18"
"01/31/2023","03","496.8","1.24"
"01/31/2023","03","501.8","1.25"
"01/31/2023","03","516.8","1.26"
"01/31/2023","03","543.8","1.29"
"01/31/2023","03","550.1","1.36"
"01/31/2023","03","570.1","1.41"
"01/31/2023","03","588.1","1.49"
"01/31/2023","03","594.4","1.66"
"01/31/2023","03","630.4","1.98"
"01/31/2023","03","666.4","2.49"
"01/31/2023","03","675.4","2.98"
"01/31/2023","03","699.3","3.5"
"01/31/2023","03","709.1","5"
"01/31/2023","03","729.1","5.01"
"01/31/2023","03","744.1","5.69"
"01/31/2023","03","746.1","7"
"01/31/2023","03","756.1","7.01"
"01/31/2023","03","761.1","7.95"
"01/31/2023","03","775.1","8"
"01/31/2023","03","777.6","10.01"
"01/31/2023","03","797.6","10.03"
"01/31/2023","03","845","15"
"01/31/2023","03","895","15.15"
"01/31/2023","03","917.5","15.69"
"01/31/2023","03","922.5","20"
"01/31/2023","03","928.5","20.19"
"01/31/2023","03","951","20.69"
"01/31/2023","03","952.5","21.73"
"01/31/2023","03","953.5","25.64"
"01/31/2023","03","976","25.69"
"01/31/2023","03","977","30.64"
"01/31/2023","03","1007","33"
"01/31/2023","03","1037","35.69"
"01/31/2023","03","1045","40.47"
"01/31/2023","03","1053","45.47"
"01/31/2023","03","1055","50"
"01/31/2023","03","1058","50.47"
"01/31/2023","03","1060","75"
