"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSPFR"
"01/31/2023","1","255.7"
"01/31/2023","2","254.2"
"01/31/2023","3","248.1"
"01/31/2023","4","248.5"
"01/31/2023","5","249"
"01/31/2023","6","252.5"
"01/31/2023","7","241.1"
"01/31/2023","8","240.7"
"01/31/2023","9","240.1"
"01/31/2023","10","241.2"
"01/31/2023","11","246.1"
"01/31/2023","12","246.5"
"01/31/2023","13","244.8"
"01/31/2023","14","230.2"
"01/31/2023","15","227"
"01/31/2023","16","226.9"
"01/31/2023","17","227"
"01/31/2023","18","230.4"
"01/31/2023","19","237.2"
"01/31/2023","20","240.9"
"01/31/2023","21","242.1"
"01/31/2023","22","242.1"
"01/31/2023","23","249.7"
"01/31/2023","24","248.4"
