"Delivery Date","Hour Ending","Total Cleared AS - NonSpin"
"01/31/2023","1","3242.7"
"01/31/2023","2","3244.2"
"01/31/2023","3","3382.3"
"01/31/2023","4","3381.3"
"01/31/2023","5","3381.2"
"01/31/2023","6","3377.4"
"01/31/2023","7","3832.1"
"01/31/2023","8","3835"
"01/31/2023","9","3838.3"
"01/31/2023","10","3837"
"01/31/2023","11","3440.9"
"01/31/2023","12","3441.2"
"01/31/2023","13","3508.5"
"01/31/2023","14","3525"
"01/31/2023","15","4599.6"
"01/31/2023","16","4594.3"
"01/31/2023","17","4594.9"
"01/31/2023","18","4587.1"
"01/31/2023","19","3689.1"
"01/31/2023","20","3682.9"
"01/31/2023","21","3681.1"
"01/31/2023","22","3627.4"
"01/31/2023","23","3590.7"
"01/31/2023","24","3591.9"
