"Delivery Date","Hour Ending","Total Self-Arranged AS - NonSpin"
"01/31/2023","1","340.3"
"01/31/2023","2","338.7"
"01/31/2023","3","345.7"
"01/31/2023","4","346.7"
"01/31/2023","5","346.8"
"01/31/2023","6","350.6"
"01/31/2023","7","296.9"
"01/31/2023","8","294"
"01/31/2023","9","290.7"
"01/31/2023","10","292"
"01/31/2023","11","265.1"
"01/31/2023","12","264.8"
"01/31/2023","13","291.5"
"01/31/2023","14","275"
"01/31/2023","15","324.4"
"01/31/2023","16","329.7"
"01/31/2023","17","329.1"
"01/31/2023","18","336.9"
"01/31/2023","19","299.9"
"01/31/2023","20","306.1"
"01/31/2023","21","307.9"
"01/31/2023","22","361.6"
"01/31/2023","23","358.3"
"01/31/2023","24","357.1"
