"Delivery Date","Hour Ending","MW Offered","ONNS Offer Price"
"01/31/2023","01","65","0"
"01/31/2023","01","493.6",".01"
"01/31/2023","01","508.6",".2"
"01/31/2023","01","563.6",".35"
"01/31/2023","01","643.6",".4"
"01/31/2023","01","773.6",".5"
"01/31/2023","01","863.6",".55"
"01/31/2023","01","1058.6",".6"
"01/31/2023","01","1203.6",".7"
"01/31/2023","01","1263.6",".75"
"01/31/2023","01","1308.6",".88"
"01/31/2023","01","1313.6",".98"
"01/31/2023","01","1578.6","1"
"01/31/2023","01","1646.6","1.36"
"01/31/2023","01","1746.6","1.46"
"01/31/2023","01","1786.6","1.5"
"01/31/2023","01","1811.2","1.6"
"01/31/2023","01","1921.2","1.75"
"01/31/2023","01","2001.2","2"
"01/31/2023","01","2045.2","2.01"
"01/31/2023","01","2280.2","3"
"01/31/2023","01","2830.2","3.14"
"01/31/2023","01","2885.2","4"
"01/31/2023","01","3014.6","5"
"01/31/2023","01","3058.6","6"
"01/31/2023","01","3071.6","7.95"
"01/31/2023","01","3101.6","8"
"01/31/2023","01","3140.6","10"
"01/31/2023","01","3162.8","10.5"
"01/31/2023","01","3204.4","13.12"
"01/31/2023","01","3250.4","15"
"01/31/2023","01","3272.6","16.41"
"01/31/2023","01","3295.1","20"
"01/31/2023","01","3324.7","20.51"
"01/31/2023","01","3407.2","25"
"01/31/2023","01","3417.6","25.63"
"01/31/2023","01","3437.6","52.45"
"01/31/2023","01","3577.6","100"
"01/31/2023","01","3771.6","138.8"
"01/31/2023","01","3965.6","263.8"
"01/31/2023","01","4120.6","488.8"
"01/31/2023","01","4132.6","1999"
"01/31/2023","02","65","0"
"01/31/2023","02","493.6",".01"
"01/31/2023","02","508.6",".2"
"01/31/2023","02","563.6",".35"
"01/31/2023","02","643.6",".4"
"01/31/2023","02","773.6",".5"
"01/31/2023","02","863.6",".55"
"01/31/2023","02","1058.6",".6"
"01/31/2023","02","1203.6",".7"
"01/31/2023","02","1263.6",".75"
"01/31/2023","02","1308.6",".88"
"01/31/2023","02","1573.6","1"
"01/31/2023","02","1578.6","1.01"
"01/31/2023","02","1646.6","1.36"
"01/31/2023","02","1746.6","1.46"
"01/31/2023","02","1786.6","1.5"
"01/31/2023","02","1811.2","1.6"
"01/31/2023","02","1921.2","1.75"
"01/31/2023","02","2001.2","2"
"01/31/2023","02","2045.2","2.01"
"01/31/2023","02","2280.2","3"
"01/31/2023","02","2830.2","3.14"
"01/31/2023","02","2885.2","4"
"01/31/2023","02","3014.6","5"
"01/31/2023","02","3058.6","6"
"01/31/2023","02","3071.6","7.95"
"01/31/2023","02","3101.6","8"
"01/31/2023","02","3140.6","10"
"01/31/2023","02","3162.8","10.5"
"01/31/2023","02","3204.4","13.12"
"01/31/2023","02","3250.4","15"
"01/31/2023","02","3272.6","16.41"
"01/31/2023","02","3295.1","20"
"01/31/2023","02","3324.7","20.51"
"01/31/2023","02","3407.2","25"
"01/31/2023","02","3417.6","25.63"
"01/31/2023","02","3437.6","52.45"
"01/31/2023","02","3577.6","100"
"01/31/2023","02","3771.6","138.8"
"01/31/2023","02","3965.6","263.8"
"01/31/2023","02","4120.6","488.8"
"01/31/2023","02","4132.6","1999"
"01/31/2023","03","65","0"
"01/31/2023","03","493.6",".01"
"01/31/2023","03","508.6",".2"
"01/31/2023","03","563.6",".35"
"01/31/2023","03","643.6",".4"
"01/31/2023","03","773.6",".5"
"01/31/2023","03","863.6",".55"
"01/31/2023","03","1058.6",".6"
"01/31/2023","03","1203.6",".7"
"01/31/2023","03","1263.6",".75"
"01/31/2023","03","1308.6",".88"
"01/31/2023","03","1573.6","1"
"01/31/2023","03","1578.6","1.03"
"01/31/2023","03","1646.6","1.36"
"01/31/2023","03","1746.6","1.46"
"01/31/2023","03","1786.6","1.5"
"01/31/2023","03","1811.2","1.6"
"01/31/2023","03","1921.2","1.75"
"01/31/2023","03","2001.2","2"
"01/31/2023","03","2045.2","2.01"
"01/31/2023","03","2280.2","3"
"01/31/2023","03","2830.2","3.14"
"01/31/2023","03","2885.2","4"
"01/31/2023","03","3014.6","5"
"01/31/2023","03","3058.6","6"
"01/31/2023","03","3071.6","7.95"
"01/31/2023","03","3101.6","8"
"01/31/2023","03","3140.6","10"
"01/31/2023","03","3162.8","10.5"
"01/31/2023","03","3204.4","13.12"
"01/31/2023","03","3250.4","15"
"01/31/2023","03","3272.6","16.41"
"01/31/2023","03","3295.1","20"
"01/31/2023","03","3324.7","20.51"
"01/31/2023","03","3407.2","25"
"01/31/2023","03","3417.6","25.63"
"01/31/2023","03","3437.6","52.45"
"01/31/2023","03","3577.6","100"
"01/31/2023","03","3771.6","138.8"
"01/31/2023","03","3965.6","263.8"
"01/31/2023","03","4120.6","488.8"
"01/31/2023","03","4132.6","1999"
"01/31/2023","04","65","0"
"01/31/2023","04","493.6",".01"
"01/31/2023","04","508.6",".2"
"01/31/2023","04","563.6",".35"
"01/31/2023","04","643.6",".4"
"01/31/2023","04","773.6",".5"
"01/31/2023","04","863.6",".55"
"01/31/2023","04","1058.6",".6"
"01/31/2023","04","1203.6",".7"
"01/31/2023","04","1263.6",".75"
"01/31/2023","04","1308.6",".88"
"01/31/2023","04","1313.6",".98"
"01/31/2023","04","1578.6","1"
"01/31/2023","04","1646.6","1.36"
"01/31/2023","04","1746.6","1.46"
"01/31/2023","04","1786.6","1.5"
"01/31/2023","04","1811.2","1.6"
"01/31/2023","04","1921.2","1.75"
"01/31/2023","04","2001.2","2"
"01/31/2023","04","2045.2","2.01"
"01/31/2023","04","2280.2","3"
"01/31/2023","04","2830.2","3.14"
"01/31/2023","04","2885.2","4"
"01/31/2023","04","3014.6","5"
"01/31/2023","04","3058.6","6"
"01/31/2023","04","3071.6","7.95"
"01/31/2023","04","3101.6","8"
"01/31/2023","04","3140.6","10"
"01/31/2023","04","3162.8","10.5"
"01/31/2023","04","3204.4","13.12"
"01/31/2023","04","3250.4","15"
"01/31/2023","04","3272.6","16.41"
"01/31/2023","04","3295.1","20"
"01/31/2023","04","3324.7","20.51"
"01/31/2023","04","3407.2","25"
"01/31/2023","04","3417.6","25.63"
"01/31/2023","04","3437.6","52.45"
"01/31/2023","04","3577.6","100"
"01/31/2023","04","3771.6","138.8"
"01/31/2023","04","3965.6","263.8"
"01/31/2023","04","4120.6","488.8"
"01/31/2023","04","4132.6","1999"
"01/31/2023","05","65","0"
"01/31/2023","05","493.6",".01"
"01/31/2023","05","508.6",".2"
"01/31/2023","05","563.6",".35"
"01/31/2023","05","643.6",".4"
"01/31/2023","05","773.6",".5"
"01/31/2023","05","863.6",".55"
"01/31/2023","05","1058.6",".6"
"01/31/2023","05","1203.6",".7"
"01/31/2023","05","1263.6",".75"
"01/31/2023","05","1308.6",".88"
"01/31/2023","05","1313.6",".95"
"01/31/2023","05","1578.6","1"
"01/31/2023","05","1646.6","1.36"
"01/31/2023","05","1746.6","1.46"
"01/31/2023","05","1786.6","1.5"
"01/31/2023","05","1811.2","1.6"
"01/31/2023","05","1921.2","1.75"
"01/31/2023","05","2001.2","2"
"01/31/2023","05","2045.2","2.01"
"01/31/2023","05","2280.2","3"
"01/31/2023","05","2830.2","3.14"
"01/31/2023","05","2885.2","4"
"01/31/2023","05","3014.6","5"
"01/31/2023","05","3058.6","6"
