"Delivery Date","Hour Ending","Total Cleared AS - RRSUFR"
"01/31/2023","1","1067.2"
"01/31/2023","2","1064.1"
"01/31/2023","3","1020.6"
"01/31/2023","4","1021.1"
"01/31/2023","5","1025.9"
"01/31/2023","6","1062.3"
"01/31/2023","7","981.4"
"01/31/2023","8","985.3"
"01/31/2023","9","984"
"01/31/2023","10","982.2"
"01/31/2023","11","1048.9"
"01/31/2023","12","1049.3"
"01/31/2023","13","1049.1"
"01/31/2023","14","1047.2"
"01/31/2023","15","1078.1"
"01/31/2023","16","1078.2"
"01/31/2023","17","1083.1"
"01/31/2023","18","1088.6"
"01/31/2023","19","1061.3"
"01/31/2023","20","1056.5"
"01/31/2023","21","1057.6"
"01/31/2023","22","1056.2"
"01/31/2023","23","1124.2"
"01/31/2023","24","1119.5"
