"Delivery Date","Hour Ending","Total Cleared AS - RegDown"
"02/02/2023","1","263.8"
"02/02/2023","2","219.1"
"02/02/2023","3","209.8"
"02/02/2023","4","174.1"
"02/02/2023","5","281.2"
"02/02/2023","6","477.7"
"02/02/2023","7","280.9"
"02/02/2023","8","519.4"
"02/02/2023","9","797.2"
"02/02/2023","10","541.9"
"02/02/2023","11","478.7"
"02/02/2023","12","457.8"
"02/02/2023","13","465.1"
"02/02/2023","14","459.5"
"02/02/2023","15","421.6"
"02/02/2023","16","460.3"
"02/02/2023","17","456.2"
"02/02/2023","18","337.6"
"02/02/2023","19","296.6"
"02/02/2023","20","313.7"
"02/02/2023","21","324"
"02/02/2023","22","312.4"
"02/02/2023","23","372.6"
"02/02/2023","24","315.4"
