"Delivery Date","Hour Ending","MW Offered","RRSPFR Offer Price"
"02/02/2023","01","142.7","0"
"02/02/2023","01","167.5",".01"
"02/02/2023","01","170.5",".29"
"02/02/2023","01","173.5",".49"
"02/02/2023","01","203.2",".5"
"02/02/2023","01","259.2",".63"
"02/02/2023","01","272.2",".73"
"02/02/2023","01","287.2",".75"
"02/02/2023","01","314.2",".78"
"02/02/2023","01","388.7",".79"
"02/02/2023","01","415.7",".8"
"02/02/2023","01","458.7",".81"
"02/02/2023","01","471.7",".82"
"02/02/2023","01","511.7",".89"
"02/02/2023","01","551.7",".98"
"02/02/2023","01","593.7",".99"
"02/02/2023","01","814.8","1"
"02/02/2023","01","824.7","1.01"
"02/02/2023","01","828.6","1.03"
"02/02/2023","01","832.6","1.19"
"02/02/2023","01","956","1.2"
"02/02/2023","01","1051","1.25"
"02/02/2023","01","1136","1.29"
"02/02/2023","01","1196","1.3"
"02/02/2023","01","1296","1.32"
"02/02/2023","01","1297.5","1.49"
"02/02/2023","01","1355.5","1.5"
"02/02/2023","01","1403.5","1.56"
"02/02/2023","01","1443.5","1.6"
"02/02/2023","01","1483.5","1.89"
"02/02/2023","01","1532","1.95"
"02/02/2023","01","1579.5","1.98"
"02/02/2023","01","1629.8","2"
"02/02/2023","01","1715.8","2.15"
"02/02/2023","01","1735.8","2.29"
"02/02/2023","01","1777.8","2.31"
"02/02/2023","01","1792","2.4"
"02/02/2023","01","1835","2.49"
"02/02/2023","01","1856","2.53"
"02/02/2023","01","1876","2.89"
"02/02/2023","01","1988","3"
"02/02/2023","01","2004.8","3.01"
"02/02/2023","01","2014.8","3.39"
"02/02/2023","01","2024.8","4"
"02/02/2023","01","2058.8","4.95"
"02/02/2023","01","2061.8","4.97"
"02/02/2023","01","2167.8","5"
"02/02/2023","01","2191.3","5.69"
"02/02/2023","01","2194.3","7"
"02/02/2023","01","2214.3","7.4"
"02/02/2023","01","2230.3","7.9"
"02/02/2023","01","2232.3","7.99"
"02/02/2023","01","2235.3","8"
"02/02/2023","01","2307.3","8.15"
"02/02/2023","01","2327.3","8.27"
"02/02/2023","01","2337.3","8.49"
"02/02/2023","01","2357.3","8.99"
"02/02/2023","01","2360.3","9"
"02/02/2023","01","2367.8","9.04"
"02/02/2023","01","2381.8","9.37"
"02/02/2023","01","2389.3","9.55"
"02/02/2023","01","2406.8","9.99"
"02/02/2023","01","2426.8","10.03"
"02/02/2023","01","2486.8","10.04"
"02/02/2023","01","2506.8","10.49"
"02/02/2023","01","2514.3","10.57"
"02/02/2023","01","2528.3","10.7"
"02/02/2023","01","2548.3","11.25"
"02/02/2023","01","2562.3","11.54"
"02/02/2023","01","2577.3","11.73"
"02/02/2023","01","2604.8","11.84"
"02/02/2023","01","2612.3","12.02"
"02/02/2023","01","2624.3","12.21"
"02/02/2023","01","2639.3","12.48"
"02/02/2023","01","2659.3","12.53"
"02/02/2023","01","2674.3","12.57"
"02/02/2023","01","2686.3","12.72"
"02/02/2023","01","2693.8","13.01"
"02/02/2023","01","2713.8","13.2"
"02/02/2023","01","2721.3","13.21"
"02/02/2023","01","2737.3","13.39"
"02/02/2023","01","2752.3","13.79"
"02/02/2023","01","2774.8","13.87"
"02/02/2023","01","2789.8","13.9"
"02/02/2023","01","2809.8","13.93"
"02/02/2023","01","2821.8","14.12"
"02/02/2023","01","2893.8","14.15"
"02/02/2023","01","2901.3","14.22"
"02/02/2023","01","2923.8","14.3"
"02/02/2023","01","2935.8","14.4"
"02/02/2023","01","2958.3","14.92"
"02/02/2023","01","2980.8","15.35"
"02/02/2023","01","2988.3","15.47"
"02/02/2023","01","3003.3","15.52"
"02/02/2023","01","3018.3","15.59"
"02/02/2023","01","3033.3","15.81"
"02/02/2023","01","3048.3","15.89"
"02/02/2023","01","3063.3","15.97"
"02/02/2023","01","3078.3","16.05"
"02/02/2023","01","3093.3","16.27"
"02/02/2023","01","3108.3","16.3"
"02/02/2023","01","3115.8","17.08"
"02/02/2023","01","3130.8","18.14"
"02/02/2023","01","3145.8","18.17"
"02/02/2023","01","3153.3","18.2"
"02/02/2023","01","3210.3","29.15"
"02/02/2023","01","3215.3","37.49"
"02/02/2023","01","3217.3","45.49"
"02/02/2023","01","3239.3","50.69"
"02/02/2023","01","3269.3","100"
"02/02/2023","01","3309.3","400"
"02/02/2023","01","3309.4","5000"
"02/02/2023","02","142.7","0"
"02/02/2023","02","167.5",".01"
"02/02/2023","02","170.5",".29"
"02/02/2023","02","173.5",".49"
"02/02/2023","02","203.2",".5"
"02/02/2023","02","259.2",".63"
"02/02/2023","02","272.2",".73"
"02/02/2023","02","287.2",".75"
"02/02/2023","02","314.2",".78"
"02/02/2023","02","388.7",".79"
"02/02/2023","02","415.7",".8"
"02/02/2023","02","458.7",".81"
"02/02/2023","02","471.7",".82"
"02/02/2023","02","511.7",".89"
"02/02/2023","02","553.7",".99"
"02/02/2023","02","774.8","1"
