"Delivery Date","Hour Ending","MW Offered","REGDN Offer Price"
"02/02/2023","01","56.8","0"
"02/02/2023","01","109.5",".01"
"02/02/2023","01","119.5",".05"
"02/02/2023","01","131.2",".06"
"02/02/2023","01","136.2",".07"
"02/02/2023","01","146.2",".31"
"02/02/2023","01","156.2",".32"
"02/02/2023","01","166.2",".41"
"02/02/2023","01","176.2",".42"
"02/02/2023","01","181.2",".47"
"02/02/2023","01","186.2",".48"
"02/02/2023","01","196.2",".49"
"02/02/2023","01","211.2",".52"
"02/02/2023","01","226.2",".62"
"02/02/2023","01","231.2",".63"
"02/02/2023","01","247.2",".64"
"02/02/2023","01","249.3",".65"
"02/02/2023","01","252.4",".67"
"02/02/2023","01","262.4",".73"
"02/02/2023","01","272.4",".74"
"02/02/2023","01","328.4",".79"
"02/02/2023","01","338.4",".83"
"02/02/2023","01","360.9",".84"
"02/02/2023","01","379.7",".9"
"02/02/2023","01","384.7",".91"
"02/02/2023","01","394.7",".92"
"02/02/2023","01","399.7",".93"
"02/02/2023","01","441.7",".99"
"02/02/2023","01","521.7","1"
"02/02/2023","01","524.8","1.04"
"02/02/2023","01","529.8","1.06"
"02/02/2023","01","543.6","1.07"
"02/02/2023","01","556.1","1.11"
"02/02/2023","01","562.4","1.15"
"02/02/2023","01","568.7","1.17"
"02/02/2023","01","575","1.23"
"02/02/2023","01","617","1.29"
"02/02/2023","01","620.1","1.35"
"02/02/2023","01","648.1","1.49"
"02/02/2023","01","654.4","1.51"
"02/02/2023","01","700.4","1.98"
"02/02/2023","01","715.4","2.39"
"02/02/2023","01","768.4","2.49"
"02/02/2023","01","782.4","2.98"
"02/02/2023","01","804.9","4.39"
"02/02/2023","01","816","5"
"02/02/2023","01","826","5.01"
"02/02/2023","01","836","5.11"
"02/02/2023","01","846","5.21"
"02/02/2023","01","848","7"
"02/02/2023","01","853","7.01"
"02/02/2023","01","858","7.11"
"02/02/2023","01","863","7.21"
"02/02/2023","01","868","7.96"
"02/02/2023","01","891.8","8"
"02/02/2023","01","914.3","8.69"
"02/02/2023","01","927.1","10"
"02/02/2023","01","929.6","10.01"
"02/02/2023","01","949.6","10.02"
"02/02/2023","01","952.1","10.11"
"02/02/2023","01","954.6","10.21"
"02/02/2023","01","1014.6","15"
"02/02/2023","01","1064.6","15.15"
"02/02/2023","01","1111.1","15.69"
"02/02/2023","01","1123.1","18.69"
"02/02/2023","01","1124.1","19.64"
"02/02/2023","01","1129.1","20"
"02/02/2023","01","1141.1","20.69"
"02/02/2023","01","1142.1","24.64"
"02/02/2023","01","1172.1","27.69"
"02/02/2023","01","1174.1","30"
"02/02/2023","01","1204.1","33"
"02/02/2023","01","1212.1","50"
"02/02/2023","01","1220.1","55"
"02/02/2023","01","1223.1","60"
"02/02/2023","01","1263.1","95.15"
"02/02/2023","01","1271.1","100"
"02/02/2023","01","1283.1","1000"
"02/02/2023","01","1305.1","2000"
"02/02/2023","02","56.8","0"
"02/02/2023","02","89.5",".01"
"02/02/2023","02","99.5",".04"
"02/02/2023","02","104.5",".05"
"02/02/2023","02","109.5",".06"
"02/02/2023","02","114.5",".14"
"02/02/2023","02","126.2",".15"
"02/02/2023","02","136.2",".16"
"02/02/2023","02","141.2",".43"
"02/02/2023","02","156.2",".44"
"02/02/2023","02","161.2",".54"
"02/02/2023","02","171.2",".55"
"02/02/2023","02","176.2",".56"
"02/02/2023","02","181.2",".61"
"02/02/2023","02","186.2",".62"
"02/02/2023","02","191.2",".63"
"02/02/2023","02","196.2",".64"
"02/02/2023","02","204.2",".66"
"02/02/2023","02","211.2",".67"
"02/02/2023","02","216.2",".77"
"02/02/2023","02","226.2",".78"
"02/02/2023","02","287.2",".79"
