"Delivery Date","Hour Ending","Total Cleared AS - RegUp"
"02/02/2023","1","217.3"
"02/02/2023","2","190.8"
"02/02/2023","3","193.6"
"02/02/2023","4","250"
"02/02/2023","5","352.9"
"02/02/2023","6","460.6"
"02/02/2023","7","550.2"
"02/02/2023","8","361.6"
"02/02/2023","9","278.7"
"02/02/2023","10","397.5"
"02/02/2023","11","393.5"
"02/02/2023","12","363.2"
"02/02/2023","13","381.4"
"02/02/2023","14","421.7"
"02/02/2023","15","420.5"
"02/02/2023","16","479.4"
"02/02/2023","17","558.8"
"02/02/2023","18","844.2"
"02/02/2023","19","594"
"02/02/2023","20","215.4"
"02/02/2023","21","249.5"
"02/02/2023","22","181.9"
"02/02/2023","23","249"
"02/02/2023","24","177.1"
