"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSUFR"
"02/02/2023","1","494.3"
"02/02/2023","2","494.4"
"02/02/2023","3","487.4"
"02/02/2023","4","484.5"
"02/02/2023","5","480.1"
"02/02/2023","6","472"
"02/02/2023","7","452.3"
"02/02/2023","8","447"
"02/02/2023","9","450.5"
"02/02/2023","10","457.8"
"02/02/2023","11","472.2"
"02/02/2023","12","480.2"
"02/02/2023","13","487.6"
"02/02/2023","14","494.7"
"02/02/2023","15","498"
"02/02/2023","16","500"
"02/02/2023","17","498.1"
"02/02/2023","18","492.7"
"02/02/2023","19","479.1"
"02/02/2023","20","473.7"
"02/02/2023","21","471.3"
"02/02/2023","22","471.4"
"02/02/2023","23","485.8"
"02/02/2023","24","490.6"
