"Delivery Date","Hour Ending","MW Offered","RRSUFR Offer Price"
"02/02/2023","01","820.9","0"
"02/02/2023","01","988.5","15"
"02/02/2023","02","820.6","0"
"02/02/2023","02","988.1","15"
"02/02/2023","03","826.4","0"
"02/02/2023","03","994.1","15"
"02/02/2023","04","828.3","0"
"02/02/2023","04","996.1","15"
"02/02/2023","05","833.7","0"
"02/02/2023","05","1001.7","15"
"02/02/2023","06","973.7","0"
"02/02/2023","07","993.9","0"
"02/02/2023","08","999.4","0"
"02/02/2023","09","995.8","0"
"02/02/2023","10","1074.4","0"
"02/02/2023","11","1085.2","0"
"02/02/2023","12","1077.5","0"
"02/02/2023","13","1070","0"
"02/02/2023","14","1061.3","0"
"02/02/2023","15","1060.8","0"
"02/02/2023","16","1059.1","0"
"02/02/2023","17","1061.7","0"
"02/02/2023","18","997.9","0"
"02/02/2023","19","1011.4","0"
"02/02/2023","20","1016.7","0"
"02/02/2023","21","1052.7","0"
"02/02/2023","22","1067.1","0"
"02/02/2023","23","1045.6","0"
"02/02/2023","24","1040.9","0"
