"Delivery Date","Hour Ending","Total Self-Arranged AS - RegUp"
"02/02/2023","1","20.7"
"02/02/2023","2","18.1"
"02/02/2023","3","18.7"
"02/02/2023","4","24.2"
"02/02/2023","5","34.9"
"02/02/2023","6","46.5"
"02/02/2023","7","56.8"
"02/02/2023","8","37.6"
"02/02/2023","9","29"
"02/02/2023","10","40.5"
"02/02/2023","11","39.6"
"02/02/2023","12","35.8"
"02/02/2023","13","37.6"
"02/02/2023","14","41.4"
"02/02/2023","15","41.5"
"02/02/2023","16","47.5"
"02/02/2023","17","56.1"
"02/02/2023","18","76.8"
"02/02/2023","19","61"
"02/02/2023","20","22.2"
"02/02/2023","21","8.5"
"02/02/2023","22","6.2"
"02/02/2023","23","8.4"
"02/02/2023","24","5.9"
