"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSPFR"
"02/02/2023","1","247.9"
"02/02/2023","2","247.4"
"02/02/2023","3","247.1"
"02/02/2023","4","249.1"
"02/02/2023","5","253.6"
"02/02/2023","6","258.8"
"02/02/2023","7","259.9"
"02/02/2023","8","261.9"
"02/02/2023","9","261.3"
"02/02/2023","10","256.1"
"02/02/2023","11","258.1"
"02/02/2023","12","253.3"
"02/02/2023","13","253.1"
"02/02/2023","14","251.9"
"02/02/2023","15","248.3"
"02/02/2023","16","250.5"
"02/02/2023","17","253.6"
"02/02/2023","18","257"
"02/02/2023","19","259"
"02/02/2023","20","259.6"
"02/02/2023","21","78.5"
"02/02/2023","22","78.3"
"02/02/2023","23","80.4"
"02/02/2023","24","79.9"
