"Delivery Date","Hour Ending","Total Self-Arranged AS - RegDown"
"02/02/2023","1","25.2"
"02/02/2023","2","20.9"
"02/02/2023","3","20.2"
"02/02/2023","4","16.9"
"02/02/2023","5","27.8"
"02/02/2023","6","48.2"
"02/02/2023","7","29.1"
"02/02/2023","8","54"
"02/02/2023","9","82.8"
"02/02/2023","10","55.1"
"02/02/2023","11","48.2"
"02/02/2023","12","45.2"
"02/02/2023","13","45.9"
"02/02/2023","14","45.2"
"02/02/2023","15","41.5"
"02/02/2023","16","45.7"
"02/02/2023","17","45.8"
"02/02/2023","18","34.4"
"02/02/2023","19","30.4"
"02/02/2023","20","32.3"
"02/02/2023","21","11"
"02/02/2023","22","10.6"
"02/02/2023","23","12.6"
"02/02/2023","24","10.6"
