"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSPFR"
"01/30/2023","1","77.5"
"01/30/2023","2","76.6"
"01/30/2023","3","74.1"
"01/30/2023","4","74.2"
"01/30/2023","5","74.9"
"01/30/2023","6","74.7"
"01/30/2023","7","72.9"
"01/30/2023","8","75.1"
"01/30/2023","9","76.5"
"01/30/2023","10","75.5"
"01/30/2023","11","77.9"
"01/30/2023","12","77.5"
"01/30/2023","13","77.7"
"01/30/2023","14","78.9"
"01/30/2023","15","79.6"
"01/30/2023","16","79.8"
"01/30/2023","17","79.5"
"01/30/2023","18","80.5"
"01/30/2023","19","79.5"
"01/30/2023","20","77.9"
"01/30/2023","21","77.7"
"01/30/2023","22","77.6"
"01/30/2023","23","80.5"
"01/30/2023","24","80"
