"Delivery Date","Hour Ending","MW Offered","RRSUFR Offer Price"
"01/30/2023","01","1406","0"
"01/30/2023","01","1580.4","15"
"01/30/2023","02","1405.6","0"
"01/30/2023","02","1580","15"
"01/30/2023","03","1420.4","0"
"01/30/2023","03","1595.4","15"
"01/30/2023","04","1423.1","0"
"01/30/2023","04","1598.4","15"
"01/30/2023","05","1428.2","0"
"01/30/2023","05","1603.9","15"
"01/30/2023","06","1646.6","0"
"01/30/2023","07","1830.4","0"
"01/30/2023","08","1835.7","0"
"01/30/2023","09","1822.7","0"
"01/30/2023","10","1821.1","0"
"01/30/2023","11","1743.2","0"
"01/30/2023","12","1735.8","0"
"01/30/2023","13","1728.8","0"
"01/30/2023","14","1708","0"
"01/30/2023","15","1677.5","0"
"01/30/2023","16","1676.1","0"
"01/30/2023","17","1680.6","0"
"01/30/2023","18","1685.2","0"
"01/30/2023","19","1717.6","0"
"01/30/2023","20","1709.1","0"
"01/30/2023","21","1709.7","0"
"01/30/2023","22","1703.8","0"
"01/30/2023","23","1598.2","0"
"01/30/2023","24","1590","0"
