"Delivery Date","Hour Ending","Total Self-Arranged AS - RegUp"
"01/30/2023","1","7.7"
"01/30/2023","2","6.3"
"01/30/2023","3","8"
"01/30/2023","4","8.4"
"01/30/2023","5","11.1"
"01/30/2023","6","16.9"
"01/30/2023","7","20.8"
"01/30/2023","8","13"
"01/30/2023","9","10.5"
"01/30/2023","10","13.3"
"01/30/2023","11","13.7"
"01/30/2023","12","11.7"
"01/30/2023","13","12.5"
"01/30/2023","14","11.1"
"01/30/2023","15","12.4"
"01/30/2023","16","14.9"
"01/30/2023","17","24.1"
"01/30/2023","18","21"
"01/30/2023","19","13.2"
"01/30/2023","20","7.9"
"01/30/2023","21","8.1"
"01/30/2023","22","6.2"
"01/30/2023","23","6.9"
"01/30/2023","24","7"
