"Delivery Date","Hour Ending","Total Cleared AS - NonSpin"
"01/30/2023","1","3347.4"
"01/30/2023","2","3349.9"
"01/30/2023","3","3491.1"
"01/30/2023","4","3491.3"
"01/30/2023","5","3489.6"
"01/30/2023","6","3490"
"01/30/2023","7","3875.4"
"01/30/2023","8","3872.2"
"01/30/2023","9","3870.2"
"01/30/2023","10","3871.7"
"01/30/2023","11","3463.1"
"01/30/2023","12","3463.5"
"01/30/2023","13","3554.1"
"01/30/2023","14","3552.7"
"01/30/2023","15","4646"
"01/30/2023","16","4646"
"01/30/2023","17","4646"
"01/30/2023","18","4646"
"01/30/2023","19","3734.4"
"01/30/2023","20","3736.5"
"01/30/2023","21","3736.9"
"01/30/2023","22","3737"
"01/30/2023","23","3698.5"
"01/30/2023","24","3699.2"
