"Delivery Date","Hour Ending","Total Cleared AS - RRSUFR"
"01/30/2023","1","1139.5"
"01/30/2023","2","1139.3"
"01/30/2023","3","1102.5"
"01/30/2023","4","1108.6"
"01/30/2023","5","1113.5"
"01/30/2023","6","1124.7"
"01/30/2023","7","1036.8"
"01/30/2023","8","1042.1"
"01/30/2023","9","1037.9"
"01/30/2023","10","1035.1"
"01/30/2023","11","1093.3"
"01/30/2023","12","1087.8"
"01/30/2023","13","1076.6"
"01/30/2023","14","1074.7"
"01/30/2023","15","1105.3"
"01/30/2023","16","1103.2"
"01/30/2023","17","1107.5"
"01/30/2023","18","1120.5"
"01/30/2023","19","1096"
"01/30/2023","20","1096.1"
"01/30/2023","21","1095.6"
"01/30/2023","22","1091"
"01/30/2023","23","1158.3"
"01/30/2023","24","1151.1"
