"Delivery Date","Hour Ending","Total Self-Arranged AS - NonSpin"
"01/30/2023","1","234.9"
"01/30/2023","2","233.8"
"01/30/2023","3","237.2"
"01/30/2023","4","237.4"
"01/30/2023","5","238.3"
"01/30/2023","6","238"
"01/30/2023","7","253.6"
"01/30/2023","8","256.8"
"01/30/2023","9","258.8"
"01/30/2023","10","257.3"
"01/30/2023","11","243"
"01/30/2023","12","242.5"
"01/30/2023","13","245.9"
"01/30/2023","14","247.4"
"01/30/2023","15","278"
"01/30/2023","16","278"
"01/30/2023","17","278"
"01/30/2023","18","278"
"01/30/2023","19","254.6"
"01/30/2023","20","252.5"
"01/30/2023","21","252.1"
"01/30/2023","22","252"
"01/30/2023","23","250.5"
"01/30/2023","24","249.8"
