"Delivery Date","Hour Ending","Total Self-Arranged AS - RegDown"
"01/30/2023","1","8.9"
"01/30/2023","2","7.1"
"01/30/2023","3","6.8"
"01/30/2023","4","7.7"
"01/30/2023","5","6.5"
"01/30/2023","6","9.3"
"01/30/2023","7","8"
"01/30/2023","8","7.3"
"01/30/2023","9","25.1"
"01/30/2023","10","18.3"
"01/30/2023","11","16.3"
"01/30/2023","12","15"
"01/30/2023","13","13.7"
"01/30/2023","14","12.9"
"01/30/2023","15","14.7"
"01/30/2023","16","12.9"
"01/30/2023","17","9.9"
"01/30/2023","18","7.5"
"01/30/2023","19","10.2"
"01/30/2023","20","8.9"
"01/30/2023","21","9.4"
"01/30/2023","22","10.1"
"01/30/2023","23","12.9"
"01/30/2023","24","11.1"
