"Delivery Date","Hour Ending","MW Offered","OFFNS Offer Price"
"01/30/2023","01","819",".01"
"01/30/2023","01","1066.2",".02"
"01/30/2023","01","1216.8",".03"
"01/30/2023","01","1464",".04"
"01/30/2023","01","1614.6",".05"
"01/30/2023","01","1861.8",".06"
"01/30/2023","01","1961.4",".07"
"01/30/2023","01","2157.6",".08"
"01/30/2023","01","2207.4",".09"
"01/30/2023","01","2370.2",".1"
"01/30/2023","01","2516.3",".25"
"01/30/2023","01","2532.9",".4"
"01/30/2023","01","2594.9",".45"
"01/30/2023","01","2767.4",".62"
"01/30/2023","01","2829.4",".65"
"01/30/2023","01","2832.1",".74"
"01/30/2023","01","2834.8",".76"
"01/30/2023","01","2837.4",".77"
"01/30/2023","01","2888",".79"
"01/30/2023","01","2890.6",".81"
"01/30/2023","01","2893.2",".82"
"01/30/2023","01","2895.8",".84"
"01/30/2023","01","2955.8",".85"
"01/30/2023","01","2958.4",".86"
"01/30/2023","01","2961",".87"
"01/30/2023","01","2963.6",".89"
"01/30/2023","01","2966",".91"
"01/30/2023","01","3012.4",".92"
"01/30/2023","01","3058.8",".94"
"01/30/2023","01","3105.2",".96"
"01/30/2023","01","3151.7",".97"
"01/30/2023","01","3154.2",".99"
"01/30/2023","01","3156.6","1.01"
"01/30/2023","01","3159","1.02"
"01/30/2023","01","3287.9","1.04"
"01/30/2023","01","3362.9","1.05"
"01/30/2023","01","3365.5","1.06"
"01/30/2023","01","3367.7","1.07"
"01/30/2023","01","3425.1","1.08"
"01/30/2023","01","3482.8","1.09"
"01/30/2023","01","3540.9","1.11"
"01/30/2023","01","3543.2","1.12"
"01/30/2023","01","3602.2","1.13"
"01/30/2023","01","3674.5","1.14"
"01/30/2023","01","3749.5","1.15"
"01/30/2023","01","3751.8","1.16"
"01/30/2023","01","3754","1.17"
"01/30/2023","01","3756.2","1.19"
"01/30/2023","01","3758.6","1.21"
"01/30/2023","01","3806","1.22"
"01/30/2023","01","3866","1.3"
"01/30/2023","01","3911","1.42"
"01/30/2023","01","3956","1.62"
"01/30/2023","01","4020","1.75"
"01/30/2023","01","4065","1.82"
"01/30/2023","01","4090","2"
"01/30/2023","01","4286","2.72"
"01/30/2023","01","4349","2.8"
"01/30/2023","01","4359","3"
"01/30/2023","01","4374","3.01"
"01/30/2023","01","4384","4"
"01/30/2023","01","4399","4.01"
"01/30/2023","01","4632","8.8"
"01/30/2023","01","4859","23.8"
"01/30/2023","01","4894.3","50"
"01/30/2023","01","4920.8","80"
"01/30/2023","01","4947","110"
"01/30/2023","01","4973.2","140"
"01/30/2023","01","4998.5","170"
"01/30/2023","01","5023.1","200"
"01/30/2023","01","5047.7","230"
"01/30/2023","01","5072.7","260"
"01/30/2023","01","5097.3","290"
"01/30/2023","01","5122.6","320"
"01/30/2023","01","5140.9","350"
"01/30/2023","01","5160","380"
"01/30/2023","01","5179.1","410"
"01/30/2023","01","5197.4","440"
"01/30/2023","01","5218.3","470"
"01/30/2023","02","823.2",".01"
"01/30/2023","02","1070.8",".02"
"01/30/2023","02","1221.4",".03"
"01/30/2023","02","1469",".04"
"01/30/2023","02","1619.6",".05"
"01/30/2023","02","1867.2",".06"
"01/30/2023","02","1966.8",".07"
"01/30/2023","02","2163.4",".08"
"01/30/2023","02","2213.2",".09"
"01/30/2023","02","2376",".1"
"01/30/2023","02","2523.2",".25"
"01/30/2023","02","2539.8",".4"
"01/30/2023","02","2601.8",".45"
"01/30/2023","02","2823.8",".57"
"01/30/2023","02","2885.8",".65"
"01/30/2023","02","2886.7",".68"
