"Delivery Date","Hour Ending","Total Cleared AS - RegUp"
"01/30/2023","1","233.5"
"01/30/2023","2","190.9"
"01/30/2023","3","246.9"
"01/30/2023","4","257.3"
"01/30/2023","5","340.2"
"01/30/2023","6","518"
"01/30/2023","7","623.2"
"01/30/2023","8","380.3"
"01/30/2023","9","300.4"
"01/30/2023","10","385.8"
"01/30/2023","11","398.3"
"01/30/2023","12","340.8"
"01/30/2023","13","365.6"
"01/30/2023","14","318.8"
"01/30/2023","15","358.6"
"01/30/2023","16","433.1"
"01/30/2023","17","699.9"
"01/30/2023","18","829"
"01/30/2023","19","376.7"
"01/30/2023","20","230.2"
"01/30/2023","21","236.5"
"01/30/2023","22","180"
"01/30/2023","23","202.1"
"01/30/2023","24","205.3"
